,2,Wc,,,,,,,,,,W1d,,,,,W2d,,,,
ssss,0,0.00E+00,2.76E-04,0.00E+00,9.71E-02,0.00E+00,0.00E+00,2.37E-03,0.00E+00,0.00E+00,1.70E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.69E-01,0.00E+00,0.00E+00,0.00E+00,4.18E-03,0.00E+00
Fss,0,1.02E-03,1.85E-02,0.00E+00,6.20E-02,0.00E+00,0.00E+00,5.07E-03,1.62E-01,3.12E-03,1.23E-02,3.61E-02,0.00E+00,1.70E-03,5.67E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ssss_,0,0.00E+00,0.00E+00,0.00E+00,6.84E-02,2.52E-04,0.00E+00,2.49E-03,0.00E+00,0.00E+00,5.96E-02,0.00E+00,0.00E+00,0.00E+00,2.03E-04,5.77E-02,2.28E-02,0.00E+00,0.00E+00,6.88E-04,0.00E+00
fss,0,5.77E-03,5.03E-03,0.00E+00,1.08E-01,1.73E-03,0.00E+00,0.00E+00,9.66E-03,1.68E-02,1.20E-02,5.57E-02,0.00E+00,1.84E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E-02
Sss_,0,0.00E+00,2.77E-03,0.00E+00,2.35E-02,0.00E+00,0.00E+00,1.29E-01,0.00E+00,0.00E+00,2.20E-03,1.21E-06,0.00E+00,0.00E+00,0.00E+00,7.78E-03,7.38E-03,0.00E+00,1.17E-03,0.00E+00,1.29E-02
Ssss,0,0.00E+00,0.00E+00,0.00E+00,6.21E-02,0.00E+00,0.00E+00,2.95E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.56E-02,2.98E-02,0.00E+00,0.00E+00,1.61E-03,0.00E+00
eee,0,1.41E-02,2.53E-01,3.88E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.65E-02,9.17E-03,0.00E+00,0.00E+00,2.68E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Fss,0,0.00E+00,1.68E-02,0.00E+00,4.40E-02,0.00E+00,0.00E+00,0.00E+00,1.54E-01,1.30E-04,1.30E-02,2.17E-02,0.00E+00,0.00E+00,5.23E-03,2.97E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
eee_,0,2.33E-02,1.72E-01,1.26E-03,1.83E-04,6.93E-04,5.93E-03,4.79E-03,0.00E+00,9.32E-04,2.21E-02,1.77E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E-02,0.00E+00,0.00E+00,0.00E+00
FSs,0,0.00E+00,0.00E+00,0.00E+00,3.38E-02,0.00E+00,2.55E-02,2.63E-02,6.64E-02,3.29E-03,2.25E-03,1.24E-02,0.00E+00,0.00E+00,3.71E-03,5.83E-03,1.81E-02,0.00E+00,0.00E+00,0.00E+00,4.21E-02
_Sss_,0,0.00E+00,3.43E-03,0.00E+00,1.42E-02,0.00E+00,0.00E+00,1.05E-01,0.00E+00,0.00E+00,7.81E-04,1.89E-03,0.00E+00,0.00E+00,0.00E+00,1.39E-04,6.55E-03,0.00E+00,0.00E+00,0.00E+00,7.45E-04
_eee,0,1.52E-02,1.43E-01,0.00E+00,1.76E-03,1.36E-03,0.00E+00,3.53E-03,0.00E+00,5.92E-04,7.54E-03,1.31E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ffs,0,3.18E-02,1.20E-02,1.31E-03,3.01E-02,5.59E-03,0.00E+00,1.68E-04,2.57E-03,2.68E-03,0.00E+00,1.94E-01,3.32E-02,2.52E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.88E-04,0.00E+00
_ss,0,9.22E-03,0.00E+00,0.00E+00,4.14E-02,0.00E+00,0.00E+00,3.85E-02,2.91E-03,0.00E+00,2.45E-03,8.85E-03,1.35E-02,0.00E+00,0.00E+00,0.00E+00,1.46E-02,0.00E+00,0.00E+00,2.25E-02,0.00E+00
fsss,0,0.00E+00,1.13E-03,0.00E+00,6.20E-02,0.00E+00,1.59E-03,0.00E+00,0.00E+00,5.19E-03,2.85E-02,0.00E+00,0.00E+00,9.16E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sssss,0,0.00E+00,6.90E-04,0.00E+00,2.09E-02,0.00E+00,0.00E+00,5.35E-04,0.00E+00,0.00E+00,1.05E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.98E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Ssss,0,0.00E+00,0.00E+00,0.00E+00,4.26E-02,0.00E+00,0.00E+00,1.89E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.97E-02,0.00E+00,0.00E+00,0.00E+00,9.76E-03,0.00E+00
