s+,1672
s+_,1577
fs,986
Ss,931
_Ss,655
Fs,629
_fs,621
f+,589
#NAME?,587
_Fs,571
FS,570
fs_,558
_s+,541
_s+_,514
_FS,508
Ss_,472
Ff,423
f+s,411
Ss+,393
F+,392
fs+,390
_fs_,389
_Ff,384
Fs_,375
_f+,367
fs+_,367
_F+,354
Ss+_,346
_Fs_,342
S+,315
_Ss_,314
FS_,310
#NAME?,309
_FS_,283
_Ss+,279
_f+s,271
_Ss+_,250
#NAME?,238
+s+,224
S+_,222
f+s_,216
sf,209
#NAME?,209
_fs+,198
Fs+,196
_fs+_,181
Fs+_,177
_Fs+,176
Ffs,175
#NAME?,173
f+s+,169
_S+,166
fS,161
_Fs+_,158
_Ffs,154
F+S,149
_f+s_,148
sS,144
FSs,142
f+s+_,135
fF,134
_F+S,133
s+f,121
_FSs,120
f+_,114
#NAME?,113
Ff+,113
_S+_,106
_f+s+,104
sfs,104
Sf,103
Ffs_,102
_Ff+,96
FS+,92
F+s,91
_Ffs_,90
#NAME?,88
