_FF,153
_FFS,41
ss,784
ss_,741
fs,609
Ss,451
sss,392
sss_,369
fs_,347
Fs,327
FS,323
_Ss,297
_fs,276
_ss,263
_Fs,257
ff,256
fss,245
Ff,241
Ss_,234
_FS,230
_Ff,189
ssss,189
ssss_,181
Sss,176
ffs,175
Fs_,174
FS_,173
FF,172
_fs_,166
_ff,157
SS,148
_Ss_,146
_Fs_,139
sf,139
fsss,137
_ss_,135
_FS_,125
_sss,124
_Sss,121
Fss,120
SS_,112
Ffs,103
fss_,100
sssss,98
ffs_,98
sssss_,96
fS,96
fff,94
_Fss,92
_fss,91
Sss_,85
sS,83
fF,83
Ssss,81
_Ffs,80
FSs,80
_SS,76
fssss,74
sfs,72
ffss,70
_ffs,68
_Sss_,66
Fff,65
fffs,65
FFS,63
_ssss,60
_sss_,59
_fff,59
FSS,59
_FSs,58
fsss_,58
Fsss,56
Ffs_,55
Sf,54
Fss_,52
ssf,49
_Ssss,48
ff_,48
_Fff,47
sfss,47
_Ffs_,46
_fsss,45
ssssss,45
ssssss_,45
ffsss,45
fS_,45
_Fss_,43
_fss_,43
FFs,43
ffff,43
_Fsss,42
FSS_,41
FFF,40
sS_,40
_ffs_,39
