skw17	h	m	l	1	0.03030303,0.03030303,0.00000000,0.00000000,0.09090909,0.09090909,0.06060606,0.18181818,0.18181818,0.00000000,0.00000000,0.00000000,0.00000000,0.03030303,0.00000000,0.00000000,0.03030303,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09090909,0.18181818,0.00000000,0.00000000,0.00000000,0.00000000
teh26	h	m	l	0	0.11111111,0.11111111,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.11111111,0.00000000,0.11111111,0.00000000,0.11111111,0.00000000,0.11111111,0.00000000,0.00000000,0.00000000,0.00000000,0.11111111,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.11111111,0.11111111,0.00000000,0.00000000
rde8	h	l	l	0	0.07446809,0.03191489,0.04255319,0.05319149,0.02127660,0.01063830,0.03191489,0.06382979,0.04255319,0.02127660,0.00000000,0.00000000,0.00000000,0.03191489,0.05319149,0.02127660,0.08510638,0.03191489,0.14893617,0.07446809,0.06382979,0.01063830,0.01063830,0.04255319,0.02127660,0.01063830,0.00000000,0.00000000
jaw154	h	h	l	2	0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03636364,0.09090909,0.05454545,0.03636364,0.01818182,0.10909091,0.07272727,0.00000000,0.00000000,0.00000000,0.01818182,0.00000000,0.03636364,0.03636364,0.01818182,0.01818182,0.01818182,0.05454545,0.03636364,0.12727273,0.12727273,0.09090909
saa128	h	l	l	1	0.00000000,0.00000000,0.00000000,0.00000000,0.25806452,0.22580645,0.00000000,0.03225806,0.03225806,0.00000000,0.06451613,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.25806452,0.06451613,0.00000000,0.06451613,0.00000000,0.00000000
jhb32	h	m	m	0	0.05531915,0.02978723,0.00851064,0.00000000,0.05106383,0.00851064,0.04255319,0.05531915,0.02127660,0.02127660,0.06382979,0.03404255,0.02978723,0.05957447,0.03829787,0.01276596,0.02553191,0.02127660,0.06808511,0.08510638,0.02553191,0.05531915,0.01702128,0.02553191,0.02978723,0.03829787,0.04680851,0.02978723
rdp23	h	h	m	2	0.01276596,0.00425532,0.00425532,0.01276596,0.03404255,0.03404255,0.05531915,0.11063830,0.09361702,0.01276596,0.02127660,0.07234043,0.04680851,0.00425532,0.00851064,0.00425532,0.07234043,0.00000000,0.02553191,0.00425532,0.00425532,0.00000000,0.03829787,0.11063830,0.01276596,0.07659574,0.07659574,0.04680851
kbs29	h	m	m	0	0.15000000,0.10555556,0.03888889,0.00000000,0.03888889,0.00000000,0.01666667,0.03333333,0.00555556,0.02777778,0.01111111,0.02222222,0.01111111,0.16666667,0.06111111,0.02777778,0.01111111,0.00555556,0.06111111,0.07222222,0.01666667,0.03888889,0.00000000,0.00555556,0.02777778,0.02222222,0.01111111,0.01111111
rwm27	h	m	l	1	0.01694915,0.01694915,0.00000000,0.01694915,0.15254237,0.15254237,0.06779661,0.06779661,0.06779661,0.00000000,0.06779661,0.00000000,0.00000000,0.01694915,0.00000000,0.00000000,0.06779661,0.00000000,0.01694915,0.00000000,0.00000000,0.00000000,0.18644068,0.08474576,0.00000000,0.00000000,0.00000000,0.00000000
sws19	h	h	m	1	0.00000000,0.00000000,0.00000000,0.00000000,0.10526316,0.10526316,0.00000000,0.10526316,0.10526316,0.00000000,0.10526316,0.00000000,0.00000000,0.05263158,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15789474,0.10526316,0.00000000,0.05263158,0.05263158,0.05263158
