ss_	0.05460751	0.01780415	0.02666667	0	0.03773585	0.05084746	0	0.07748184	0	0	0.11073826	0.01666667	0	0.06399132	0.07386364	0.08671329	0.06502636	0.07122093	0.11420613	0	0.02234637	0.00892857	0	0.00806452	0.06784661	0.05555556	0	0.08426966	0.01030928
_Ss	0	0.00890208	0	0.02380952	0.05660377	0.01694915	0	0.08958838	0	0	0.0704698	0	0	0.04121475	0.07954545	0.08951049	0.06502636	0.05087209	0.09749304	0.00429185	0.03351955	0	0.08823529	0.01612903	0.03834808	0.04166667	0	0.10674157	0
_Fs	0.05119454	0.07715134	0.06666667	0.04761905	0.08679245	0.02259887	0.03045685	0.02905569	0.09090909	0.08695652	0.03020134	0.06666667	0.06741573	0.01084599	0.03409091	0.0041958	0.0456942	0.00872093	0.02228412	0.0472103	0.02234637	0.11607143	0.05882353	0.06451613	0.0560472	0.02777778	0.125	0	0.13402062
sss	0.06484642	0.00296736	0.02666667	0	0.04528302	0.02824859	0	0.031477	0	0	0.06375839	0	0	0.13991323	0.07386364	0.09370629	0.03866432	0.13081395	0.05292479	0	0	0	0	0	0.01474926	0	0	0.03370787	0
Ss_	0.02047782	0.00296736	0	0.02380952	0.04528302	0.03389831	0	0.08474576	0.04545455	0	0.04026846	0	0	0.02928416	0.05681818	0.05454545	0.05096661	0.00872093	0.0362117	0.00858369	0.03351955	0	0.08823529	0.01612903	0.03244838	0.04166667	0.025	0.03932584	0
Fs_	0.00682594	0.07715134	0.04	0.06349206	0.08301887	0.01694915	0.05583756	0.00968523	0.09090909	0.10869565	0.02348993	0.10833333	0.08988764	0.0032538	0.01704545	0.0013986	0.03866432	0	0	0.04291845	0.02793296	0.13392857	0.05882353	0.07258065	0.04129794	0.02777778	0.15	0	0.16494845
sss_	0.03412969	0.00296736	0.01333333	0	0.01509434	0.02824859	0	0.01937046	0	0	0.04026846	0	0	0.04229935	0.02840909	0.06153846	0.0228471	0.04796512	0.04456825	0	0	0	0	0	0.00884956	0	0	0.01685393	0
Sss	0.01023891	0.00593472	0	0	0.01132075	0.00564972	0	0.02421308	0	0	0.04026846	0	0	0.02494577	0.02272727	0.06153846	0.02460457	0.0625	0.09192201	0	0.01675978	0	0	0	0.00589971	0	0	0.1011236	0
_FS	0.03754266	0.02373887	0	0.00793651	0.03018868	0.07909605	0.07106599	0.01452785	0.09090909	0.02173913	0.01006711	0.075	0.04494382	0.00759219	0.02840909	0.00559441	0.01933216	0.01889535	0.01949861	0.01287554	0.06145251	0.02678571	0.08823529	0.03225806	0.01179941	0	0.15	0.01123596	0.02061856
ee_	0.06143345	0.05341246	0.09333333	0.08730159	0.04528302	0.02824859	0.08629442	0.03874092	0.04545455	0	0	0	0.03932584	0.01301518	0	0	0	0.01598837	0.00835655	0.11158798	0.07821229	0.04464286	0.05882353	0.05645161	0.0619469	0.02777778	0	0.03932584	0.06185567
