ss_	0	0.01694915	0.07492795	0.03344482	0.03243243	0.07735322	0.06153846	0.04589372	0.02105263	0.06263499	0.06824926	0.1	0.09850746	0.02469136	0.02521008	0	0.01132075	0.00874636	0.01804124	0.00458716	0.06148867	0.03783784	0	0.05714286	0.02877698	0	0
_Ss	0	0.01694915	0.04178674	0.00334448	0	0.02423113	0.07692308	0.03381643	0	0.03671706	0.05341246	0.05	0.05671642	0.01234568	0.03781513	0	0.00754717	0	0.0128866	0.00458716	0.05501618	0.00540541	0	0.05714286	0	0	0.04761905
_Fs	0.02777778	0.09322034	0.02161383	0.06020067	0.05945946	0.02609506	0.06153846	0.00724638	0.07368421	0.04967603	0.04451039	0.04285714	0.04477612	0.07407407	0.02521008	0.08163265	0.0490566	0.06413994	0.07731959	0.06422018	0.00323625	0.03243243	0.04819277	0.05714286	0.07194245	0.03125	0.02380952
sss	0	0	0.10662824	0.00668896	0.00540541	0.16682199	0.03076923	0.22463768	0	0.0237581	0.02967359	0.05	0.02089552	0.01234568	0.10084034	0	0.00377358	0.00291545	0.0128866	0	0.15533981	0.01081081	0	0	0.04316547	0	0
Ss_	0	0.01271186	0.01440922	0.00334448	0.00540541	0.00186393	0.04615385	0.00241546	0	0.04103672	0.0504451	0.02142857	0.05074627	0.01234568	0.05882353	0	0.01509434	0	0.01030928	0.01376147	0.02588997	0.01621622	0	0.1	0.02877698	0.03125	0.02380952
Fs_	0.05555556	0.08050847	0.00144092	0.05351171	0.04324324	0.00093197	0.03076923	0	0.05263158	0.01943844	0.02967359	0.02857143	0.00895522	0.08641975	0.02521008	0.12244898	0.05660377	0.06997085	0.07731959	0.08256881	0	0.03243243	0.08433735	0	0.07194245	0.03125	0.02380952
sss_	0	0	0.04610951	0.00668896	0.00540541	0.06430568	0.03076923	0.04347826	0	0.01511879	0.01186944	0.04285714	0.00895522	0.01234568	0.00840336	0	0.00377358	0.00291545	0.00515464	0	0.03559871	0.01081081	0	0	0.02158273	0	0
Sss	0	0.00423729	0.04034582	0.00334448	0	0.03261883	0.03076923	0.04589372	0	0.00647948	0.03560831	0.03571429	0.0238806	0	0.02941176	0	0	0	0.00257732	0	0.06472492	0.00540541	0	0	0.01438849	0	0
_FS	0.22222222	0.01694915	0.01585014	0.01337793	0.03243243	0.00186393	0.04615385	0.00483092	0.05263158	0.01295896	0.04154303	0.01428571	0.01791045	0.08641975	0.04201681	0.14285714	0.07924528	0.03206997	0.01030928	0.02293578	0.01618123	0.05945946	0.09638554	0.01428571	0.10791367	0.03125	0.11904762
ee_	0.05555556	0.01271186	0.0259366	0.03010033	0.09189189	0.00186393	0.01538462	0	0.02105263	0.03671706	0	0.00714286	0.00597015	0.04938272	0	0	0.05283019	0.04956268	0.03865979	0.06422018	0.00970874	0.03783784	0.03614458	0	0.02158273	0	0.07142857
_Fs_	0.02777778	0.06779661	0.00144092	0.0367893	0.03783784	0	0.03076923	0	0.05263158	0.01727862	0.02077151	0.02857143	0.00895522	0.07407407	0.01680672	0.08163265	0.04528302	0.06122449	0.06958763	0.05963303	0	0.01621622	0.04819277	0	0.05755396	0	0.02380952
_Ff	0	0.0720339	0.0129683	0.03344482	0.02702703	0.0083877	0.01538462	0.00483092	0.09473684	0.05615551	0.02373887	0.02142857	0.02985075	0.01234568	0.00840336	0.02040816	0.03018868	0.04956268	0.04896907	0.04587156	0.01618123	0.03783784	0	0.04285714	0.00719424	0.0625	0.02380952
