ss_	0.04060914	0.08928571	0.01204819	0	0.04705882	0.00440529	0	0.03448276	0.05511811	0.07142857	0.07739938	0.04907975	0.06306306	0.03174603	0.02040816	0.04029304	0	0.07432432	0.03947368	0	0.02136752	0.09907121	0.08219178	0.02479339	0.03375527	0.05504587	0.07990315	0
_Ss	0.03299492	0.04497354	0.01204819	0.01369863	0.04705882	0.00440529	0.025	0.03448276	0.00787402	0.07142857	0.09597523	0.03680982	0.01801802	0	0.12244898	0.0989011	0	0.06756757	0.05263158	0	0.06410256	0.11145511	0.05136986	0.01239669	0.00421941	0.00917431	0.04600484	0
_Fs	0.03299492	0.01388889	0.04819277	0.12328767	0.07058824	0.11894273	0.15	0.06896552	0.06299213	0.07142857	0.01857585	0.03680982	0.09009009	0.07936508	0.06122449	0.02197802	0.1	0.03378378	0.02631579	0.06363636	0.05128205	0.01857585	0.02226027	0.10743802	0.03375527	0.06422018	0.02179177	0
sss	0.05076142	0.1223545	0	0	0	0	0	0	0.03149606	0	0.06811146	0.02453988	0.02702703	0	0	0.04761905	0	0.04054054	0.02631579	0	0.0042735	0.0371517	0.1010274	0.02066116	0.08016878	0.03211009	0.10895884	0
Ss_	0.03553299	0.01851852	0.01204819	0.01369863	0.02352941	0	0.025	0.06896552	0.05511811	0.07142857	0.07739938	0.04294479	0.01801802	0	0.12244898	0.10989011	0	0.05405405	0.07894737	0	0.07264957	0.09287926	0.03424658	0.01239669	0.00421941	0.01834862	0.01937046	0
Fs_	0.01522843	0.00330688	0.06024096	0.1369863	0.07058824	0.14096916	0.15	0.03448276	0.03149606	0	0.01547988	0.03680982	0.05405405	0.07936508	0.04081633	0.003663	0.1	0.01576577	0.01315789	0.08636364	0.04273504	0.00309598	0	0.09917355	0.02109705	0.04587156	0	0.02702703
sss_	0.01522843	0.0542328	0	0	0	0	0	0	0.03149606	0	0.03405573	0.02453988	0.01801802	0	0	0.01098901	0	0.02477477	0.01315789	0	0.0042735	0.03095975	0.0359589	0.01652893	0.02531646	0.02293578	0.05447942	0
Sss	0.02284264	0.04232804	0	0	0.03529412	0.00440529	0	0	0	0	0.05263158	0.01226994	0.00900901	0.01587302	0	0.04029304	0	0.03153153	0.01315789	0	0.01709402	0.0619195	0.03082192	0.00826446	0.00843882	0.00917431	0.0496368	0
_FS	0.03045685	0.00661376	0.10843373	0	0.02352941	0.03964758	0.075	0.06896552	0.07874016	0	0.01547988	0.05521472	0.01801802	0.06349206	0.08163265	0.02564103	0.05	0.02477477	0.10526316	0.05454545	0.08974359	0.02167183	0.01541096	0.01652893	0.02953586	0.05045872	0.0157385	0.08108108
ee_	0.02284264	0.01322751	0	0.02739726	0.07058824	0	0	0.06896552	0.02362205	0.07142857	0	0	0	0.01587302	0	0.01465201	0	0.01126126	0.01315789	0.01818182	0	0.00309598	0.01883562	0.04545455	0.08016878	0.02293578	0.00968523	0
_Fs_	0.01269036	0.0026455	0.04819277	0.12328767	0.05882353	0.11453744	0.15	0.03448276	0.03149606	0	0.00928793	0.02453988	0.04504505	0.07936508	0.04081633	0.003663	0.1	0.01126126	0.01315789	0.06363636	0.02991453	0	0	0.09090909	0.02109705	0.03211009	0	0
_Ff	0.02538071	0.01653439	0.04819277	0.05479452	0.02352941	0.05286344	0.05	0	0	0	0	0.03680982	0.03603604	0.03174603	0.04081633	0.01098901	0.1	0.01576577	0	0.04545455	0.01282051	0.00309598	0.00684932	0.04545455	0.01687764	0.03211009	0.01331719	0.08108108
_FF	0.03807107	0.00727513	0.04819277	0.01369863	0.01176471	0.08370044	0	0	0.03149606	0	0.01547988	0.06134969	0.03603604	0.06349206	0.04081633	0.00732601	0.05	0.03828829	0.01315789	0.04545455	0.03846154	0.00309598	0.00684932	0.01239669	0.00421941	0.03669725	0.01937046	0.16216216
