dsa24	40,22,9,5,44,27,16,3,8,0,22,4,0,13,13,6,2,3,1,2,10,13,1,10,2,0,1,17,2,0,13,7,5,17,8,7,0,0,8,5,1,1,1,43,7,0,6,21,2,11,5,3,1,10,6,3
saa128	2,0,2,2,21,17,13,4,4,0,10,6,1,1,0,0,0,0,0,0,2,9,3,0,2,1,0,3,0,3,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jhb32	25,15,4,11,19,5,2,1,6,7,20,7,7,4,31,8,7,9,4,10,6,28,5,11,31,10,4,20,4,4,7,20,8,20,6,3,8,2,27,3,9,7,4,41,6,3,12,20,2,13,14,11,15,16,5,8
snb39	43,23,12,9,39,11,3,2,7,13,12,4,3,1,101,13,7,77,50,17,8,16,4,10,18,1,3,26,1,4,19,41,10,73,17,2,45,37,50,8,9,17,13,392,56,36,39,251,39,157,33,24,12,50,44,45
nrg14	6,2,1,5,9,2,0,0,4,2,18,4,1,6,6,3,1,1,0,2,2,6,0,0,5,0,1,25,9,10,2,22,8,17,6,6,3,1,22,0,3,9,9,5,0,0,5,0,0,0,2,1,7,18,2,17
pmp27	40,23,10,17,3,0,0,0,0,3,6,1,2,3,42,5,5,29,13,5,2,16,1,11,18,3,5,23,1,0,18,14,5,24,2,1,18,13,26,8,6,7,3,146,17,14,19,84,8,48,18,4,10,19,14,14
rdp23	41,28,6,8,30,10,2,6,11,6,23,3,5,8,16,6,2,5,2,5,0,11,7,3,12,4,4,31,7,7,8,16,7,19,5,5,5,3,22,2,5,9,5,29,4,1,6,14,3,7,10,8,5,17,2,12
mjm248	18,13,0,3,13,3,0,2,5,1,14,4,2,3,3,0,1,1,0,5,0,10,4,1,17,4,4,24,7,5,6,15,5,11,3,4,1,0,17,0,4,12,1,17,1,0,4,2,0,0,27,4,11,32,8,55
ams396	41,34,0,7,13,4,1,2,6,2,16,3,5,2,6,4,0,0,0,1,1,10,1,2,8,2,1,13,5,3,5,7,3,14,7,3,2,0,8,2,0,5,0,11,3,0,2,5,3,1,4,1,4,6,1,4
jmk195	3,1,0,2,3,1,0,0,0,2,1,0,0,1,42,1,0,35,26,1,0,7,0,7,12,4,2,32,0,1,26,15,7,26,2,1,22,20,45,3,9,27,6,283,25,21,42,189,22,116,39,9,4,39,33,30
