dsa24	h	h	l	0	0.08213552,0.04517454,0.01848049,0.01026694,0.09034908,0.05544148,0.03285421,0.00616016,0.01642710,0.00000000,0.04517454,0.00821355,0.00000000,0.02669405,0.02669405,0.01232033,0.00410678,0.00616016,0.00205339,0.00410678,0.02053388,0.02669405,0.00205339,0.02053388,0.00410678,0.00000000,0.00205339,0.03490760,0.00410678,0.00000000,0.02669405,0.01437372,0.01026694,0.03490760,0.01642710,0.01437372,0.00000000,0.00000000,0.01642710,0.01026694,0.00205339,0.00205339,0.00205339,0.08829569,0.01437372,0.00000000,0.01232033,0.04312115,0.00410678,0.02258727,0.01026694,0.00616016,0.00205339,0.02053388,0.01232033,0.00616016
saa128	h	l	l	1	0.01785714,0.00000000,0.01785714,0.01785714,0.18750000,0.15178571,0.11607143,0.03571429,0.03571429,0.00000000,0.08928571,0.05357143,0.00892857,0.00892857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01785714,0.08035714,0.02678571,0.00000000,0.01785714,0.00892857,0.00000000,0.02678571,0.00000000,0.02678571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02678571,0.00892857,0.00892857,0.00892857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
jhb32	h	m	m	0	0.04065041,0.02439024,0.00650407,0.01788618,0.03089431,0.00813008,0.00325203,0.00162602,0.00975610,0.01138211,0.03252033,0.01138211,0.01138211,0.00650407,0.05040650,0.01300813,0.01138211,0.01463415,0.00650407,0.01626016,0.00975610,0.04552846,0.00813008,0.01788618,0.05040650,0.01626016,0.00650407,0.03252033,0.00650407,0.00650407,0.01138211,0.03252033,0.01300813,0.03252033,0.00975610,0.00487805,0.01300813,0.00325203,0.04390244,0.00487805,0.01463415,0.01138211,0.00650407,0.06666667,0.00975610,0.00487805,0.01951220,0.03252033,0.00325203,0.02113821,0.02276423,0.01788618,0.02439024,0.02601626,0.00813008,0.01300813
snb39	h	m	m	0	0.02090423,0.01118133,0.00583374,0.00437530,0.01895965,0.00534759,0.00145843,0.00097229,0.00340301,0.00631988,0.00583374,0.00194458,0.00145843,0.00048614,0.04910063,0.00631988,0.00340301,0.03743316,0.02430724,0.00826446,0.00388916,0.00777832,0.00194458,0.00486145,0.00875061,0.00048614,0.00145843,0.01263977,0.00048614,0.00194458,0.00923675,0.01993194,0.00486145,0.03548858,0.00826446,0.00097229,0.02187652,0.01798736,0.02430724,0.00388916,0.00437530,0.00826446,0.00631988,0.19056879,0.02722411,0.01750122,0.01895965,0.12202236,0.01895965,0.07632474,0.01604278,0.01166748,0.00583374,0.02430724,0.02139037,0.02187652
nrg14	m	l	l	0	0.02027027,0.00675676,0.00337838,0.01689189,0.03040541,0.00675676,0.00000000,0.00000000,0.01351351,0.00675676,0.06081081,0.01351351,0.00337838,0.02027027,0.02027027,0.01013514,0.00337838,0.00337838,0.00000000,0.00675676,0.00675676,0.02027027,0.00000000,0.00000000,0.01689189,0.00000000,0.00337838,0.08445946,0.03040541,0.03378378,0.00675676,0.07432432,0.02702703,0.05743243,0.02027027,0.02027027,0.01013514,0.00337838,0.07432432,0.00000000,0.01013514,0.03040541,0.03040541,0.01689189,0.00000000,0.00000000,0.01689189,0.00000000,0.00000000,0.00000000,0.00675676,0.00337838,0.02364865,0.06081081,0.00675676,0.05743243
pmp27	h	l	l	0	0.04722550,0.02715466,0.01180638,0.02007084,0.00354191,0.00000000,0.00000000,0.00000000,0.00000000,0.00354191,0.00708383,0.00118064,0.00236128,0.00354191,0.04958678,0.00590319,0.00590319,0.03423849,0.01534829,0.00590319,0.00236128,0.01889020,0.00118064,0.01298701,0.02125148,0.00354191,0.00590319,0.02715466,0.00118064,0.00000000,0.02125148,0.01652893,0.00590319,0.02833530,0.00236128,0.00118064,0.02125148,0.01534829,0.03069658,0.00944510,0.00708383,0.00826446,0.00354191,0.17237308,0.02007084,0.01652893,0.02243211,0.09917355,0.00944510,0.05667060,0.02125148,0.00472255,0.01180638,0.02243211,0.01652893,0.01652893
rdp23	h	h	m	0	0.07620818,0.05204461,0.01115242,0.01486989,0.05576208,0.01858736,0.00371747,0.01115242,0.02044610,0.01115242,0.04275093,0.00557621,0.00929368,0.01486989,0.02973978,0.01115242,0.00371747,0.00929368,0.00371747,0.00929368,0.00000000,0.02044610,0.01301115,0.00557621,0.02230483,0.00743494,0.00743494,0.05762082,0.01301115,0.01301115,0.01486989,0.02973978,0.01301115,0.03531599,0.00929368,0.00929368,0.00929368,0.00557621,0.04089219,0.00371747,0.00929368,0.01672862,0.00929368,0.05390335,0.00743494,0.00185874,0.01115242,0.02602230,0.00557621,0.01301115,0.01858736,0.01486989,0.00929368,0.03159851,0.00371747,0.02230483
mjm248	m	l	l	0	0.04422604,0.03194103,0.00000000,0.00737101,0.03194103,0.00737101,0.00000000,0.00491400,0.01228501,0.00245700,0.03439803,0.00982801,0.00491400,0.00737101,0.00737101,0.00000000,0.00245700,0.00245700,0.00000000,0.01228501,0.00000000,0.02457002,0.00982801,0.00245700,0.04176904,0.00982801,0.00982801,0.05896806,0.01719902,0.01228501,0.01474201,0.03685504,0.01228501,0.02702703,0.00737101,0.00982801,0.00245700,0.00000000,0.04176904,0.00000000,0.00982801,0.02948403,0.00245700,0.04176904,0.00245700,0.00000000,0.00982801,0.00491400,0.00000000,0.00000000,0.06633907,0.00982801,0.02702703,0.07862408,0.01965602,0.13513514
ams396	m	l	m	0	0.13945578,0.11564626,0.00000000,0.02380952,0.04421769,0.01360544,0.00340136,0.00680272,0.02040816,0.00680272,0.05442177,0.01020408,0.01700680,0.00680272,0.02040816,0.01360544,0.00000000,0.00000000,0.00000000,0.00340136,0.00340136,0.03401361,0.00340136,0.00680272,0.02721088,0.00680272,0.00340136,0.04421769,0.01700680,0.01020408,0.01700680,0.02380952,0.01020408,0.04761905,0.02380952,0.01020408,0.00680272,0.00000000,0.02721088,0.00680272,0.00000000,0.01700680,0.00000000,0.03741497,0.01020408,0.00000000,0.00680272,0.01700680,0.01020408,0.00340136,0.01360544,0.00340136,0.01360544,0.02040816,0.00340136,0.01360544
jmk195	m	l	m	0	0.00240964,0.00080321,0.00000000,0.00160643,0.00240964,0.00080321,0.00000000,0.00000000,0.00000000,0.00160643,0.00080321,0.00000000,0.00000000,0.00080321,0.03373494,0.00080321,0.00000000,0.02811245,0.02088353,0.00080321,0.00000000,0.00562249,0.00000000,0.00562249,0.00963855,0.00321285,0.00160643,0.02570281,0.00000000,0.00080321,0.02088353,0.01204819,0.00562249,0.02088353,0.00160643,0.00080321,0.01767068,0.01606426,0.03614458,0.00240964,0.00722892,0.02168675,0.00481928,0.22730924,0.02008032,0.01686747,0.03373494,0.15180723,0.01767068,0.09317269,0.03132530,0.00722892,0.00321285,0.03132530,0.02650602,0.02409639
