,,,,,Wc,,,,,,,,,W1d,,,,,,,,,,W2d,,,,,,,,,
_Fs_,1,2,2,3,1.08E-02,7.74E-03,9.91E-02,0.00E+00,2.63E-04,0.00E+00,2.59E-01,0.00E+00,0.00E+00,0.00E+00,2.81E-02,0.00E+00,6.68E-02,0.00E+00,1.40E-01,7.24E-02,0.00E+00,0.00E+00,2.54E-01,0.00E+00,1.37E-01,2.63E-02,2.84E-02,0.00E+00,1.03E-01,0.00E+00,1.23E-01,0.00E+00,0.00E+00
_Ff,1,2,2,3,0.00E+00,1.31E-02,0.00E+00,3.05E-02,5.54E-02,0.00E+00,7.78E-02,0.00E+00,4.31E-02,0.00E+00,0.00E+00,2.43E-01,9.14E-02,0.00E+00,0.00E+00,0.00E+00,2.01E-02,5.68E-02,1.80E-01,0.00E+00,0.00E+00,0.00E+00,5.57E-03,0.00E+00,1.59E-01,0.00E+00,0.00E+00,0.00E+00,1.53E-01
_FF,1,1,1,1,3.10E-02,5.10E-04,0.00E+00,2.90E-02,1.48E-01,4.82E-04,6.44E-02,8.62E-05,7.89E-03,1.35E-02,5.56E-02,4.21E-02,1.72E-02,8.91E-04,0.00E+00,7.32E-02,0.00E+00,5.52E-03,0.00E+00,1.67E-01,2.77E-02,0.00E+00,0.00E+00,3.56E-03,4.09E-02,1.42E-02,0.00E+00,2.60E-02,2.81E-01
_Sss,0,0,3,0,7.34E-03,0.00E+00,0.00E+00,8.29E-02,0.00E+00,1.03E-02,0.00E+00,0.00E+00,3.07E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.26E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.10E-01,0.00E+00,0.00E+00,0.00E+00
FS_,1,1,1,1,4.15E-02,6.78E-02,1.48E-03,0.00E+00,1.83E-01,9.43E-03,4.10E-02,2.08E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.16E-01,0.00E+00,0.00E+00,0.00E+00,8.14E-02,0.00E+00,8.56E-02,1.90E-01,1.44E-01,1.24E-02,0.00E+00,1.01E-01,1.23E-03,1.04E-01
_Ss_,0,0,0,0,0.00E+00,0.00E+00,1.04E-01,1.11E-01,0.00E+00,1.64E-01,3.38E-04,1.85E-03,8.85E-03,1.30E-01,0.00E+00,0.00E+00,1.41E-03,0.00E+00,2.47E-02,1.93E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.74E-02,0.00E+00,0.00E+00,0.00E+00,1.27E-02,0.00E+00,2.18E-02,0.00E+00
_ee,0,2,0,4,0.00E+00,2.08E-01,0.00E+00,0.00E+00,0.00E+00,6.72E-04,0.00E+00,1.71E-01,7.77E-04,5.40E-02,1.92E-01,0.00E+00,3.66E-02,5.06E-04,9.12E-02,0.00E+00,5.10E-03,0.00E+00,0.00E+00,0.00E+00,4.21E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
fs_,1,2,2,3,0.00E+00,1.90E-02,0.00E+00,4.17E-02,1.72E-02,5.72E-04,8.75E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E-01,2.86E-01,0.00E+00,1.33E-01,0.00E+00,3.64E-02,9.23E-03,1.42E-02,3.89E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.08E-02
ssss,0,0,3,2,0.00E+00,8.91E-03,0.00E+00,0.00E+00,0.00E+00,1.32E-02,0.00E+00,0.00E+00,1.73E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.26E-01,0.00E+00,0.00E+00,0.00E+00,1.46E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-02,0.00E+00
Fss,0,0,0,0,2.41E-02,0.00E+00,3.59E-02,5.00E-02,9.16E-03,0.00E+00,0.00E+00,7.22E-02,5.75E-02,1.86E-01,1.27E-02,3.37E-02,0.00E+00,7.41E-03,0.00E+00,0.00E+00,1.58E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_FS_,1,1,1,1,4.12E-02,7.07E-02,9.05E-03,0.00E+00,1.35E-01,1.37E-03,2.58E-02,1.96E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.74E-01,0.00E+00,0.00E+00,0.00E+00,1.27E-02,0.00E+00,9.06E-02,2.17E-01,7.54E-02,2.32E-02,0.00E+00,1.09E-01,1.80E-03,9.67E-03
ssss_,0,0,0,2,0.00E+00,0.00E+00,1.26E-04,2.00E-03,0.00E+00,4.61E-04,0.00E+00,0.00E+00,8.90E-02,3.21E-03,7.41E-03,7.47E-04,0.00E+00,7.74E-02,0.00E+00,0.00E+00,1.43E-03,0.00E+00,2.31E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.28E-03,0.00E+00,2.56E-02,0.00E+00
fss,0,0,0,0,2.62E-02,4.72E-03,2.74E-04,3.37E-02,1.71E-02,0.00E+00,8.77E-03,2.92E-03,9.30E-02,1.17E-04,0.00E+00,0.00E+00,0.00E+00,1.11E-02,0.00E+00,0.00E+00,5.87E-02,0.00E+00,0.00E+00,0.00E+00,3.36E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E-03
Sss_,0,0,3,0,2.53E-02,1.84E-04,0.00E+00,7.71E-02,0.00E+00,1.86E-03,1.38E-04,0.00E+00,4.52E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.68E-01,0.00E+00,0.00E+00,0.00E+00
Ssss,0,0,3,2,7.13E-03,0.00E+00,0.00E+00,1.96E-02,0.00E+00,1.91E-02,0.00E+00,0.00E+00,4.23E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.97E-02,0.00E+00,0.00E+00,0.00E+00,9.94E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.61E-02,0.00E+00,1.17E-02,0.00E+00
