,,,,,Wc,,,,,,,,,W1d,,,,,,,,,,W2d,,,,,,,,,
fssss,0,0,0,0,0.00E+00,1.77E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.20E-02,0.00E+00,0.00E+00,5.13E-03,0.00E+00,9.92E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FfS,0,0,2,3,0.00E+00,0.00E+00,1.60E-03,6.68E-03,0.00E+00,1.62E-04,0.00E+00,0.00E+00,7.16E-03,2.43E-02,0.00E+00,3.27E-02,0.00E+00,0.00E+00,0.00E+00,7.34E-03,0.00E+00,2.61E-02,4.59E-02,0.00E+00,0.00E+00,9.55E-03,1.26E-02,0.00E+00,1.78E-01,0.00E+00,0.00E+00,0.00E+00,3.26E-02
FSs_,0,0,0,0,6.19E-02,0.00E+00,5.61E-02,0.00E+00,1.33E-03,3.01E-04,0.00E+00,3.32E-02,4.89E-04,6.62E-03,0.00E+00,3.80E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E-02,1.58E-02,1.86E-03,0.00E+00
_Ffs_,0,2,2,3,3.14E-04,6.06E-03,0.00E+00,0.00E+00,1.28E-02,2.32E-04,2.44E-03,6.15E-05,0.00E+00,8.70E-03,0.00E+00,8.65E-02,1.03E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.50E-03,9.42E-02,8.77E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.41E-03,6.05E-02
fff,0,0,0,0,0.00E+00,1.06E-02,0.00E+00,8.83E-03,3.57E-04,1.47E-05,3.02E-02,1.35E-04,3.26E-03,0.00E+00,1.57E-03,3.18E-02,3.04E-03,0.00E+00,0.00E+00,2.52E-03,3.56E-01,8.15E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.29E-03
_FFS,0,0,0,0,8.90E-04,5.91E-03,0.00E+00,5.41E-03,3.58E-02,0.00E+00,0.00E+00,2.53E-04,7.41E-04,1.46E-02,5.05E-03,5.70E-03,0.00E+00,0.00E+00,0.00E+00,4.77E-02,0.00E+00,0.00E+00,0.00E+00,6.65E-02,0.00E+00,0.00E+00,0.00E+00,1.44E-03,0.00E+00,3.20E-03,0.00E+00,3.56E-02,8.26E-02
_EE,1,1,1,1,7.95E-04,4.68E-05,4.72E-05,0.00E+00,0.00E+00,2.38E-02,4.65E-04,0.00E+00,0.00E+00,0.00E+00,2.66E-02,0.00E+00,0.00E+00,5.99E-03,0.00E+00,9.71E-02,0.00E+00,2.90E-04,0.00E+00,0.00E+00,3.86E-03,4.57E-01,0.00E+00,0.00E+00,8.44E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_FFf,0,0,0,0,1.09E-02,1.56E-04,0.00E+00,7.32E-03,9.00E-03,0.00E+00,3.86E-03,2.92E-03,9.51E-03,0.00E+00,0.00E+00,1.41E-03,3.33E-02,0.00E+00,8.90E-03,0.00E+00,2.21E-02,1.45E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.43E-02,0.00E+00,0.00E+00,0.00E+00,7.86E-03
_fs_,0,0,0,0,0.00E+00,4.06E-03,0.00E+00,1.11E-02,0.00E+00,0.00E+00,4.16E-02,0.00E+00,2.29E-06,4.83E-03,0.00E+00,1.97E-02,7.28E-02,0.00E+00,4.52E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ffs_,0,0,0,0,1.65E-04,2.67E-03,3.73E-04,9.34E-03,6.12E-04,2.30E-04,1.55E-02,3.04E-04,0.00E+00,0.00E+00,1.43E-02,0.00E+00,1.57E-02,0.00E+00,1.03E-01,1.10E-02,7.14E-02,2.20E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.71E-03
FSss,0,0,0,0,2.67E-02,0.00E+00,0.00E+00,1.47E-02,4.04E-04,7.23E-04,0.00E+00,0.00E+00,6.58E-03,0.00E+00,2.96E-03,0.00E+00,0.00E+00,1.63E-02,0.00E+00,0.00E+00,0.00E+00,7.74E-03,0.00E+00,0.00E+00,1.55E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.71E-03,0.00E+00,0.00E+00,7.91E-05
_ff,0,0,0,0,0.00E+00,1.18E-02,0.00E+00,1.06E-02,0.00E+00,0.00E+00,3.44E-03,3.34E-03,5.66E-03,0.00E+00,0.00E+00,0.00E+00,1.57E-02,1.33E-03,3.10E-02,0.00E+00,1.19E-01,0.00E+00,0.00E+00,1.13E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
eeee,0,0,0,4,7.15E-05,3.35E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.92E-04,1.55E-02,0.00E+00,1.59E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.01E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
