3.529968023449622794e-02,4.727788219449921558e-02,1.963126256065277769e-02,4.977569256238038864e-02,5.856865297125744829e-02,6.724838899653164115e-02,5.376080409193205456e-02
4.581589696686276525e-02,5.880913599194828936e-03,1.286117965146872481e-02,2.909215247523592660e-02,6.655092572796819650e-02,6.684036638200524516e-02,8.525437781944046264e-03
5.183260292936738706e-02,4.349422185388105572e-02,5.429660330544304470e-02,3.831903206557215474e-02,1.887273326499920231e-02,1.516316905204430875e-02,5.394513995819257696e-02
4.036777171971868416e-02,6.937556790290073071e-03,3.051320574367444305e-02,2.752316480215679165e-02,4.107476268273420328e-02,7.031962784898004859e-02,1.343856964476579721e-02
4.123976833529173318e-03,5.698013865242037429e-02,2.093824601278046135e-02,1.145603002146904949e-02,2.963734589474043002e-02,5.516242591700284970e-02,5.252955403436110338e-02
6.018838864818210760e-02,3.471718365994645034e-02,5.331468905059725399e-02,4.713995598097175249e-02,3.629193198489474165e-02,4.620469116968124040e-02,3.348044184408468377e-02
3.262178588552896996e-02,2.942456407487913442e-02,2.010351272945593362e-02,3.045445012132633189e-02,3.418893592018616701e-02,1.647104320051756207e-02,1.016853165967375981e-03
5.751716853256635953e-02,1.828250153985665552e-02,2.153757322829074131e-02,4.995251529657542683e-02,1.684573416369990542e-02,1.938960050684886485e-02,2.589210019014533126e-02
6.942710496389509212e-02,3.868448392585213669e-02,1.558177960524196118e-02,3.117293861039666103e-02,2.871209253469388101e-02,6.359582891192215592e-02,4.838947299817707853e-02
2.345131554302067739e-02,4.700560503209758739e-02,3.727469334370954457e-02,2.060328015783706446e-02,1.036835201720472110e-02,3.762416625914229151e-02,8.726954265272809236e-03
1.838168817891918175e-02,5.429234170758102940e-02,4.543787943408382490e-02,4.593372966701758653e-02,2.480306090712431841e-02,4.814216502140562792e-02,5.014191628322179489e-02
1.676881018937694326e-02,6.580460157808454280e-02,1.042415957099795953e-02,3.592376243493732718e-02,4.247979772116352443e-02,4.042803700763961117e-02,3.253657046707387340e-02
5.075028576955563364e-02,3.158818250329437083e-02,4.934907181785107982e-02,7.372711170615826697e-03,4.777571337288148701e-02,3.954511946532337369e-02,4.629313112500326594e-02
1.077435847359889572e-03,3.732444055844413161e-02,1.777655869428371638e-04,5.576970333481170994e-02,3.707414319562836284e-03,5.706208586129973143e-02,5.707861645893851088e-02
