dsa24	h	h	l	2	0.05460751,0.00000000,0.05119454,0.06484642,0.02047782,0.00682594,0.03412969,0.01023891,0.03754266,0.06143345,0.00682594,0.02047782,0.00682594,0.00000000,0.00341297,0.00000000,0.02730375,0.00682594,0.03071672,0.04436860,0.00341297,0.02047782,0.02047782,0.00000000,0.00341297,0.04095563,0.04095563,0.02730375,0.01365188,0.03412969,0.00000000,0.01706485,0.00682594,0.00000000,0.01365188,0.01706485,0.01023891,0.00000000,0.00682594,0.03412969,0.00000000,0.00682594,0.01023891,0.00341297,0.01365188,0.02047782,0.00341297,0.00682594,0.00000000,0.01023891,0.00341297,0.00000000,0.00000000,0.00000000,0.02047782,0.01023891,0.00682594,0.00341297,0.00000000,0.00682594,0.00341297,0.00682594,0.00341297,0.00000000,0.01365188,0.00000000,0.02047782,0.00000000,0.00000000,0.00000000,0.00341297,0.00000000,0.00000000,0.00341297,0.00682594,0.00341297,0.01023891
saa128	h	l	l	1	0.00000000,0.00000000,0.02777778,0.00000000,0.00000000,0.05555556,0.00000000,0.00000000,0.22222222,0.05555556,0.02777778,0.00000000,0.05555556,0.00000000,0.22222222,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.19444444,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02777778,0.00000000,0.00000000,0.00000000,0.00000000,0.02777778,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02777778,0.05555556,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
jhb32	h	m	m	0	0.04060914,0.03299492,0.03299492,0.05076142,0.03553299,0.01522843,0.01522843,0.02284264,0.03045685,0.02284264,0.01269036,0.02538071,0.03807107,0.00507614,0.01015228,0.01776650,0.02030457,0.01522843,0.03299492,0.01776650,0.00507614,0.00507614,0.01269036,0.00761421,0.01015228,0.02791878,0.01269036,0.01776650,0.02030457,0.02284264,0.00253807,0.01776650,0.00507614,0.00000000,0.01269036,0.00253807,0.02791878,0.00253807,0.01015228,0.01269036,0.01776650,0.00253807,0.00507614,0.01522843,0.00507614,0.01015228,0.01015228,0.00000000,0.01776650,0.00761421,0.00253807,0.01776650,0.00253807,0.00507614,0.00761421,0.00507614,0.00507614,0.01015228,0.00000000,0.01015228,0.00761421,0.00761421,0.01015228,0.00761421,0.00000000,0.00507614,0.01015228,0.00253807,0.00761421,0.00507614,0.00761421,0.01269036,0.00000000,0.00507614,0.01015228,0.00253807,0.01015228
snb39	h	m	m	0	0.08928571,0.04497354,0.01388889,0.12235450,0.01851852,0.00330688,0.05423280,0.04232804,0.00661376,0.01322751,0.00264550,0.01653439,0.00727513,0.03174603,0.00264550,0.01190476,0.01124339,0.00330688,0.06018519,0.01190476,0.00198413,0.02777778,0.02777778,0.01521164,0.02380952,0.00859788,0.00925926,0.00462963,0.00661376,0.00462963,0.01124339,0.00529101,0.01388889,0.02513228,0.00595238,0.01785714,0.02777778,0.01719577,0.00661376,0.00396825,0.00396825,0.00462963,0.01455026,0.00264550,0.00793651,0.00198413,0.00198413,0.00529101,0.00066138,0.00330688,0.01256614,0.00529101,0.00066138,0.00859788,0.00198413,0.00595238,0.00462963,0.00132275,0.01190476,0.00462963,0.00859788,0.00132275,0.00264550,0.00595238,0.00992063,0.00793651,0.00132275,0.00066138,0.00727513,0.00000000,0.00132275,0.00330688,0.00066138,0.00198413,0.00264550,0.00330688,0.00330688
nrg14	m	l	l	2	0.01694915,0.01694915,0.09322034,0.00000000,0.01271186,0.08050847,0.00000000,0.00423729,0.01694915,0.01271186,0.06779661,0.07203390,0.01694915,0.00423729,0.02542373,0.01271186,0.01694915,0.06355932,0.00000000,0.00847458,0.01694915,0.00000000,0.00423729,0.00423729,0.00000000,0.00847458,0.00847458,0.00847458,0.03389831,0.00000000,0.00423729,0.00847458,0.02966102,0.00000000,0.02966102,0.00000000,0.00000000,0.00000000,0.04237288,0.00000000,0.00000000,0.00423729,0.00000000,0.00000000,0.00000000,0.00847458,0.00423729,0.01271186,0.00000000,0.00847458,0.00000000,0.01271186,0.02966102,0.00000000,0.00847458,0.00000000,0.03813559,0.00423729,0.00000000,0.00000000,0.00000000,0.01694915,0.00423729,0.00423729,0.00000000,0.00423729,0.00000000,0.02542373,0.02542373,0.00000000,0.00000000,0.00847458,0.01271186,0.02118644,0.00000000,0.00423729,0.00000000
pmp27	h	l	l	0	0.07492795,0.04178674,0.02161383,0.10662824,0.01440922,0.00144092,0.04610951,0.04034582,0.01585014,0.02593660,0.00144092,0.01296830,0.01440922,0.02737752,0.00288184,0.01008646,0.01729107,0.00432277,0.04899135,0.02593660,0.00288184,0.01873199,0.02017291,0.01873199,0.01873199,0.03025937,0.01729107,0.01585014,0.00720461,0.01440922,0.01440922,0.01296830,0.00720461,0.01008646,0.00432277,0.01152738,0.02737752,0.01296830,0.00576369,0.01152738,0.00000000,0.00432277,0.00864553,0.00000000,0.01873199,0.00432277,0.00576369,0.00432277,0.00288184,0.00576369,0.01008646,0.00576369,0.00000000,0.00576369,0.00144092,0.01440922,0.00432277,0.00432277,0.00144092,0.00864553,0.00144092,0.00432277,0.00000000,0.00432277,0.00288184,0.00000000,0.00288184,0.00000000,0.00288184,0.00144092,0.00000000,0.00288184,0.00000000,0.00144092,0.01152738,0.00144092,0.01440922
rdp23	h	h	m	2	0.01780415,0.00890208,0.07715134,0.00296736,0.00296736,0.07715134,0.00296736,0.00593472,0.02373887,0.05341246,0.06528190,0.03857567,0.01483680,0.00296736,0.02670623,0.00296736,0.05044510,0.05044510,0.00000000,0.00890208,0.02373887,0.00000000,0.00000000,0.00296736,0.00296736,0.05341246,0.00890208,0.03264095,0.02077151,0.00000000,0.00000000,0.03264095,0.01483680,0.00890208,0.01483680,0.00000000,0.00000000,0.00296736,0.01780415,0.00000000,0.00000000,0.01780415,0.00000000,0.00000000,0.00000000,0.00593472,0.00593472,0.01186944,0.00000000,0.01186944,0.00000000,0.00890208,0.02077151,0.00296736,0.00593472,0.00000000,0.01780415,0.00593472,0.00593472,0.00296736,0.00000000,0.00000000,0.01780415,0.00000000,0.00000000,0.00593472,0.00000000,0.01483680,0.00890208,0.00000000,0.00000000,0.00593472,0.01186944,0.01483680,0.00000000,0.00296736,0.02077151
mjm248	m	l	l	2	0.03344482,0.00334448,0.06020067,0.00668896,0.00334448,0.05351171,0.00668896,0.00334448,0.01337793,0.03010033,0.03678930,0.03344482,0.02675585,0.00334448,0.02341137,0.00000000,0.02341137,0.04682274,0.00000000,0.01672241,0.01003344,0.00000000,0.02341137,0.00334448,0.00000000,0.01337793,0.01337793,0.01003344,0.01672241,0.00334448,0.00334448,0.00668896,0.06020067,0.00000000,0.01003344,0.00000000,0.00000000,0.00000000,0.02006689,0.00000000,0.00334448,0.01672241,0.00000000,0.00668896,0.00668896,0.01003344,0.01003344,0.01337793,0.01003344,0.00334448,0.00000000,0.01003344,0.01003344,0.00000000,0.01003344,0.00334448,0.01672241,0.00668896,0.00000000,0.01672241,0.00000000,0.00668896,0.00668896,0.01337793,0.00000000,0.00334448,0.00000000,0.01003344,0.09364548,0.00668896,0.00000000,0.01003344,0.00334448,0.02675585,0.00000000,0.04347826,0.00334448
ams396	m	l	m	2	0.03243243,0.00000000,0.05945946,0.00540541,0.00540541,0.04324324,0.00540541,0.00000000,0.03243243,0.09189189,0.03783784,0.02702703,0.03243243,0.00000000,0.02702703,0.00000000,0.07027027,0.02162162,0.00000000,0.02702703,0.02702703,0.00000000,0.00540541,0.00000000,0.00000000,0.05405405,0.02162162,0.04324324,0.01621622,0.00540541,0.00000000,0.03783784,0.00540541,0.00000000,0.01081081,0.00540541,0.00000000,0.00000000,0.01081081,0.00000000,0.00000000,0.03243243,0.00000000,0.00000000,0.00000000,0.02702703,0.00540541,0.01081081,0.00540541,0.02702703,0.00000000,0.01081081,0.01081081,0.00000000,0.02162162,0.00000000,0.00540541,0.00540541,0.00000000,0.00000000,0.00000000,0.00540541,0.00540541,0.00000000,0.00000000,0.00540541,0.00540541,0.00540541,0.00540541,0.00540541,0.00000000,0.01081081,0.01081081,0.00000000,0.00000000,0.00540541,0.01081081
jmk195	m	l	m	0	0.07735322,0.02423113,0.02609506,0.16682199,0.00186393,0.00093197,0.06430568,0.03261883,0.00186393,0.00186393,0.00000000,0.00838770,0.00838770,0.02236719,0.00000000,0.00093197,0.00000000,0.00186393,0.09506058,0.02423113,0.00000000,0.05312209,0.02982293,0.00652377,0.02329916,0.00093197,0.02143523,0.00093197,0.00652377,0.00652377,0.00465983,0.00000000,0.00745573,0.00465983,0.00372787,0.02236719,0.03914259,0.01491146,0.00279590,0.00186393,0.00093197,0.00000000,0.02982293,0.00000000,0.02143523,0.00093197,0.00186393,0.00372787,0.00372787,0.00000000,0.01491146,0.00372787,0.00000000,0.00372787,0.00093197,0.01957130,0.00186393,0.00093197,0.00000000,0.01677540,0.00745573,0.00186393,0.00000000,0.00559180,0.01770736,0.00186393,0.00000000,0.00000000,0.01397950,0.00279590,0.00000000,0.00279590,0.00000000,0.00093197,0.00372787,0.00652377,0.00000000
