ss_	0.05460751	0	0.04060914	0.08928571	0.07492795	0.01780415	0.02666667	0	0.03773585	0.01204819	0.07748184	0	0	0.04705882	0	0	0.11073826	0.05511811	0.07142857	0.06824926	0.1	0.04029304	0	0	0.09907121	0	0.03783784	0.00892857	0.00806452	0.05555556
_Ss	0	0	0.03299492	0.04497354	0.04178674	0.00890208	0	0.02380952	0.05660377	0.01204819	0.08958838	0	0.01369863	0.04705882	0.025	0	0.0704698	0.00787402	0.07142857	0.05341246	0.05	0.0989011	0	0	0.11145511	0.00429185	0.00540541	0	0.01612903	0.04166667
_Fs	0.05119454	0.02777778	0.03299492	0.01388889	0.02161383	0.07715134	0.06666667	0.04761905	0.08679245	0.04819277	0.02905569	0.09090909	0.12328767	0.07058824	0.15	0.08695652	0.03020134	0.06299213	0.07142857	0.04451039	0.04285714	0.02197802	0.06741573	0.06363636	0.01857585	0.0472103	0.03243243	0.11607143	0.06451613	0.02777778
sss	0.06484642	0	0.05076142	0.1223545	0.10662824	0.00296736	0.02666667	0	0.04528302	0	0.031477	0	0	0	0	0	0.06375839	0.03149606	0	0.02967359	0.05	0.04761905	0	0	0.0371517	0	0.01081081	0	0	0
Ss_	0.02047782	0	0.03553299	0.01851852	0.01440922	0.00296736	0	0.02380952	0.04528302	0.01204819	0.08474576	0.04545455	0.01369863	0.02352941	0.025	0	0.04026846	0.05511811	0.07142857	0.0504451	0.02142857	0.10989011	0	0	0.09287926	0.00858369	0.01621622	0	0.01612903	0.04166667
Fs_	0.00682594	0.05555556	0.01522843	0.00330688	0.00144092	0.07715134	0.04	0.06349206	0.08301887	0.06024096	0.00968523	0.09090909	0.1369863	0.07058824	0.15	0.10869565	0.02348993	0.03149606	0	0.02967359	0.02857143	0.003663	0.08988764	0.08636364	0.00309598	0.04291845	0.03243243	0.13392857	0.07258065	0.02777778
sss_	0.03412969	0	0.01522843	0.0542328	0.04610951	0.00296736	0.01333333	0	0.01509434	0	0.01937046	0	0	0	0	0	0.04026846	0.03149606	0	0.01186944	0.04285714	0.01098901	0	0	0.03095975	0	0.01081081	0	0	0
Sss	0.01023891	0	0.02284264	0.04232804	0.04034582	0.00593472	0	0	0.01132075	0	0.02421308	0	0	0.03529412	0	0	0.04026846	0	0	0.03560831	0.03571429	0.04029304	0	0	0.0619195	0	0.00540541	0	0	0
_FS	0.03754266	0.22222222	0.03045685	0.00661376	0.01585014	0.02373887	0	0.00793651	0.03018868	0.10843373	0.01452785	0.09090909	0	0.02352941	0.075	0.02173913	0.01006711	0.07874016	0	0.04154303	0.01428571	0.02564103	0.04494382	0.05454545	0.02167183	0.01287554	0.05945946	0.02678571	0.03225806	0
ee_	0.06143345	0.05555556	0.02284264	0.01322751	0.0259366	0.05341246	0.09333333	0.08730159	0.04528302	0	0.03874092	0.04545455	0.02739726	0.07058824	0	0	0	0.02362205	0.07142857	0	0.00714286	0.01465201	0.03932584	0.01818182	0.00309598	0.11158798	0.03783784	0.04464286	0.05645161	0.02777778
