ss_	0.06153846	0.02105263	0.05084746	0.03448276	0.07739938	0.04907975	0.03174603	0.01666667	0.09850746	0.07432432	0.02521008	0.07386364	0.03947368	0.08671329	0	0.01132075	0.00874636	0.01804124	0.02234637	0	0.02877698	0.08426966	0	0	0.07990315	0
_Ss	0.07692308	0	0.01694915	0.03448276	0.09597523	0.03680982	0	0	0.05671642	0.06756757	0.03781513	0.07954545	0.05263158	0.08951049	0	0.00754717	0	0.0128866	0.03351955	0	0	0.10674157	0	0.04761905	0.04600484	0
_Fs	0.06153846	0.07368421	0.02259887	0.06896552	0.01857585	0.03680982	0.07936508	0.06666667	0.04477612	0.03378378	0.02521008	0.03409091	0.02631579	0.0041958	0.08163265	0.0490566	0.06413994	0.07731959	0.02234637	0.04819277	0.07194245	0	0.03125	0.02380952	0.02179177	0
sss	0.03076923	0	0.02824859	0	0.06811146	0.02453988	0	0	0.02089552	0.04054054	0.10084034	0.07386364	0.02631579	0.09370629	0	0.00377358	0.00291545	0.0128866	0	0	0.04316547	0.03370787	0	0	0.10895884	0
Ss_	0.04615385	0	0.03389831	0.06896552	0.07739938	0.04294479	0	0	0.05074627	0.05405405	0.05882353	0.05681818	0.07894737	0.05454545	0	0.01509434	0	0.01030928	0.03351955	0	0.02877698	0.03932584	0.03125	0.02380952	0.01937046	0
Fs_	0.03076923	0.05263158	0.01694915	0.03448276	0.01547988	0.03680982	0.07936508	0.10833333	0.00895522	0.01576577	0.02521008	0.01704545	0.01315789	0.0013986	0.12244898	0.05660377	0.06997085	0.07731959	0.02793296	0.08433735	0.07194245	0	0.03125	0.02380952	0	0.02702703
sss_	0.03076923	0	0.02824859	0	0.03405573	0.02453988	0	0	0.00895522	0.02477477	0.00840336	0.02840909	0.01315789	0.06153846	0	0.00377358	0.00291545	0.00515464	0	0	0.02158273	0.01685393	0	0	0.05447942	0
Sss	0.03076923	0	0.00564972	0	0.05263158	0.01226994	0.01587302	0	0.0238806	0.03153153	0.02941176	0.02272727	0.01315789	0.06153846	0	0	0	0.00257732	0.01675978	0	0.01438849	0.1011236	0	0	0.0496368	0
_FS	0.04615385	0.05263158	0.07909605	0.06896552	0.01547988	0.05521472	0.06349206	0.075	0.01791045	0.02477477	0.04201681	0.02840909	0.10526316	0.00559441	0.14285714	0.07924528	0.03206997	0.01030928	0.06145251	0.09638554	0.10791367	0.01123596	0.03125	0.11904762	0.0157385	0.08108108
ee_	0.01538462	0.02105263	0.02824859	0.06896552	0	0	0.01587302	0	0.00597015	0.01126126	0	0	0.01315789	0	0	0.05283019	0.04956268	0.03865979	0.07821229	0.03614458	0.02158273	0.03932584	0	0.07142857	0.00968523	0
_Fs_	0.03076923	0.05263158	0.01129944	0.03448276	0.00928793	0.02453988	0.07936508	0.05833333	0.00895522	0.01126126	0.01680672	0.01136364	0.01315789	0.0013986	0.08163265	0.04528302	0.06122449	0.06958763	0.01117318	0.04819277	0.05755396	0	0	0.02380952	0	0
_Ff	0.01538462	0.09473684	0.03954802	0	0	0.03680982	0.03174603	0.05	0.02985075	0.01576577	0.00840336	0.02840909	0	0.04055944	0.02040816	0.03018868	0.04956268	0.04896907	0.00558659	0	0.00719424	0	0.0625	0.02380952	0.01331719	0.08108108
_FF	0.01538462	0.04210526	0.03389831	0	0.01547988	0.06134969	0.06349206	0.075	0.00298507	0.03828829	0.04201681	0.00568182	0.01315789	0.0027972	0.06122449	0.05283019	0.02332362	0.02061856	0.03351955	0.06024096	0.05035971	0.00561798	0.125	0	0.01937046	0.16216216
_Sss	0.01538462	0	0	0	0.04024768	0.01226994	0	0	0.01791045	0.02252252	0.00840336	0.02272727	0	0.04615385	0	0	0	0.00257732	0.01675978	0	0	0.08426966	0	0	0.03268765	0
FS_	0.06153846	0.06315789	0.07344633	0.03448276	0.00309598	0.04907975	0.04761905	0.1	0	0.01801802	0.03361345	0.01704545	0.03947368	0	0.16326531	0.07169811	0.03790087	0.01546392	0.03351955	0.09638554	0.05755396	0	0.03125	0.11904762	0.00121065	0.10810811
_Ss_	0.03076923	0	0.01129944	0.03448276	0.05263158	0.01840491	0	0	0.03880597	0.03603604	0.02941176	0.05113636	0.05263158	0.02937063	0	0.00377358	0	0.01030928	0.01675978	0	0	0.00561798	0	0.02380952	0.00726392	0
_ee	0.01538462	0.03157895	0.02824859	0.06896552	0	0	0.03174603	0	0.00597015	0.01126126	0	0	0	0	0	0.02264151	0.04081633	0.03092784	0.0726257	0.01204819	0.01438849	0.02808989	0	0.07142857	0.00363196	0
fs_	0	0.03157895	0	0	0.00309598	0.01840491	0.01587302	0.04166667	0.0238806	0.00675676	0.00840336	0.01136364	0	0	0	0.03773585	0.06413994	0.06701031	0.01675978	0.01204819	0	0	0.0625	0	0.00121065	0.02702703
ssss	0	0	0	0	0.03095975	0	0	0	0.00895522	0.01126126	0.07983193	0.04545455	0.01315789	0.02797203	0	0	0	0.00515464	0	0	0.02158273	0.01685393	0	0	0.04600484	0
Fss	0	0.01052632	0.01129944	0.03448276	0.01857585	0.01840491	0	0.00833333	0.0358209	0.02927928	0.01260504	0.02272727	0.01315789	0.0013986	0	0.00754717	0.00291545	0.01030928	0.01117318	0	0.01438849	0	0	0	0.01815981	0
_FS_	0.04615385	0.05263158	0.06779661	0.03448276	0	0.03067485	0.03174603	0.075	0	0.01126126	0.0210084	0.01704545	0.03947368	0	0.14285714	0.06037736	0.02915452	0.01030928	0.03351955	0.08433735	0.05755396	0	0.03125	0.11904762	0	0.05405405
ssss_	0	0	0	0	0.01857585	0	0	0	0.00895522	0.00900901	0.00420168	0.02272727	0.01315789	0.01678322	0	0	0	0.00515464	0	0	0.00719424	0.01123596	0	0	0.02421308	0
fss	0.04615385	0.01052632	0.03389831	0	0.00928793	0.02453988	0.01587302	0.00833333	0.02686567	0.01351351	0.00420168	0.01136364	0	0.02377622	0	0.00377358	0	0	0.00558659	0	0	0	0	0	0.03268765	0
Sss_	0.01538462	0	0	0	0.02167183	0.00613497	0.01587302	0	0.02089552	0.02252252	0.00840336	0.01704545	0	0.00839161	0	0	0	0.00257732	0.01675978	0	0	0.06741573	0	0	0.01815981	0
Ssss	0	0	0.00564972	0	0.02167183	0	0	0	0.00298507	0.00900901	0.01260504	0.00568182	0.01315789	0.05034965	0	0	0	0	0	0	0.01438849	0.01685393	0	0	0.02542373	0
eee	0	0	0.03389831	0	0	0	0	0	0	0	0	0	0	0	0	0.03396226	0.02915452	0.0257732	0.06145251	0.09638554	0.02158273	0.03370787	0	0.04761905	0.01089588	0
_Fss	0	0.01052632	0.01129944	0.03448276	0.00928793	0.00613497	0	0.00833333	0.03283582	0.02252252	0.00420168	0.02272727	0.01315789	0.0013986	0	0	0	0.00515464	0.01117318	0	0.01438849	0	0	0	0.01452785	0
