ss_	0.01694915	0.03344482	0.03243243	0.07735322	0.04589372	0	0.06263499	0.00440529	0.06306306	0.02040816	0	0.02469136	0.06399132	0.02136752	0.06502636	0.07122093	0.11420613	0.00458716	0.06148867	0	0.08219178	0.06784661	0.02479339	0.05714286	0.03375527	0	0.05504587	0.01030928
_Ss	0.01694915	0.00334448	0	0.02423113	0.03381643	0	0.03671706	0.00440529	0.01801802	0.12244898	0	0.01234568	0.04121475	0.06410256	0.06502636	0.05087209	0.09749304	0.00458716	0.05501618	0.08823529	0.05136986	0.03834808	0.01239669	0.05714286	0.00421941	0	0.00917431	0
_Fs	0.09322034	0.06020067	0.05945946	0.02609506	0.00724638	0.03045685	0.04967603	0.11894273	0.09009009	0.06122449	0.1	0.07407407	0.01084599	0.05128205	0.0456942	0.00872093	0.02228412	0.06422018	0.00323625	0.05882353	0.02226027	0.0560472	0.10743802	0.05714286	0.03375527	0.125	0.06422018	0.13402062
sss	0	0.00668896	0.00540541	0.16682199	0.22463768	0	0.0237581	0	0.02702703	0	0	0.01234568	0.13991323	0.0042735	0.03866432	0.13081395	0.05292479	0	0.15533981	0	0.1010274	0.01474926	0.02066116	0	0.08016878	0	0.03211009	0
Ss_	0.01271186	0.00334448	0.00540541	0.00186393	0.00241546	0	0.04103672	0	0.01801802	0.12244898	0	0.01234568	0.02928416	0.07264957	0.05096661	0.00872093	0.0362117	0.01376147	0.02588997	0.08823529	0.03424658	0.03244838	0.01239669	0.1	0.00421941	0.025	0.01834862	0
Fs_	0.08050847	0.05351171	0.04324324	0.00093197	0	0.05583756	0.01943844	0.14096916	0.05405405	0.04081633	0.1	0.08641975	0.0032538	0.04273504	0.03866432	0	0	0.08256881	0	0.05882353	0	0.04129794	0.09917355	0	0.02109705	0.15	0.04587156	0.16494845
sss_	0	0.00668896	0.00540541	0.06430568	0.04347826	0	0.01511879	0	0.01801802	0	0	0.01234568	0.04229935	0.0042735	0.0228471	0.04796512	0.04456825	0	0.03559871	0	0.0359589	0.00884956	0.01652893	0	0.02531646	0	0.02293578	0
Sss	0.00423729	0.00334448	0	0.03261883	0.04589372	0	0.00647948	0.00440529	0.00900901	0	0	0	0.02494577	0.01709402	0.02460457	0.0625	0.09192201	0	0.06472492	0	0.03082192	0.00589971	0.00826446	0	0.00843882	0	0.00917431	0
_FS	0.01694915	0.01337793	0.03243243	0.00186393	0.00483092	0.07106599	0.01295896	0.03964758	0.01801802	0.08163265	0.05	0.08641975	0.00759219	0.08974359	0.01933216	0.01889535	0.01949861	0.02293578	0.01618123	0.08823529	0.01541096	0.01179941	0.01652893	0.01428571	0.02953586	0.15	0.05045872	0.02061856
ee_	0.01271186	0.03010033	0.09189189	0.00186393	0	0.08629442	0.03671706	0	0	0	0	0.04938272	0.01301518	0	0	0.01598837	0.00835655	0.06422018	0.00970874	0.05882353	0.01883562	0.0619469	0.04545455	0	0.08016878	0	0.02293578	0.06185567
