ss_	0.04060914	0.08928571	0.01780415	0.03243243	0.07735322	0.06153846	0.02105263	0.06263499	0	0.04705882	0.00440529	0.07739938	0.06306306	0.02040816	0.04029304	0.09850746	0	0.02521008	0	0.07122093	0.01804124	0	0	0.00892857	0.00806452	0.05555556	0.02479339	0.02877698	0
_Ss	0.03299492	0.04497354	0.00890208	0	0.02423113	0.07692308	0	0.03671706	0	0.04705882	0.00440529	0.09597523	0.01801802	0.12244898	0.0989011	0.05671642	0	0.03781513	0	0.05087209	0.0128866	0.00429185	0	0	0.01612903	0.04166667	0.01239669	0	0
_Fs	0.03299492	0.01388889	0.07715134	0.05945946	0.02609506	0.06153846	0.07368421	0.04967603	0.09090909	0.07058824	0.11894273	0.01857585	0.09009009	0.06122449	0.02197802	0.04477612	0.06741573	0.02521008	0.08163265	0.00872093	0.07731959	0.0472103	0.04819277	0.11607143	0.06451613	0.02777778	0.10743802	0.07194245	0.03125
sss	0.05076142	0.1223545	0.00296736	0.00540541	0.16682199	0.03076923	0	0.0237581	0	0	0	0.06811146	0.02702703	0	0.04761905	0.02089552	0	0.10084034	0	0.13081395	0.0128866	0	0	0	0	0	0.02066116	0.04316547	0
Ss_	0.03553299	0.01851852	0.00296736	0.00540541	0.00186393	0.04615385	0	0.04103672	0.04545455	0.02352941	0	0.07739938	0.01801802	0.12244898	0.10989011	0.05074627	0	0.05882353	0	0.00872093	0.01030928	0.00858369	0	0	0.01612903	0.04166667	0.01239669	0.02877698	0.03125
Fs_	0.01522843	0.00330688	0.07715134	0.04324324	0.00093197	0.03076923	0.05263158	0.01943844	0.09090909	0.07058824	0.14096916	0.01547988	0.05405405	0.04081633	0.003663	0.00895522	0.08988764	0.02521008	0.12244898	0	0.07731959	0.04291845	0.08433735	0.13392857	0.07258065	0.02777778	0.09917355	0.07194245	0.03125
sss_	0.01522843	0.0542328	0.00296736	0.00540541	0.06430568	0.03076923	0	0.01511879	0	0	0	0.03405573	0.01801802	0	0.01098901	0.00895522	0	0.00840336	0	0.04796512	0.00515464	0	0	0	0	0	0.01652893	0.02158273	0
Sss	0.02284264	0.04232804	0.00593472	0	0.03261883	0.03076923	0	0.00647948	0	0.03529412	0.00440529	0.05263158	0.00900901	0	0.04029304	0.0238806	0	0.02941176	0	0.0625	0.00257732	0	0	0	0	0	0.00826446	0.01438849	0
_FS	0.03045685	0.00661376	0.02373887	0.03243243	0.00186393	0.04615385	0.05263158	0.01295896	0.09090909	0.02352941	0.03964758	0.01547988	0.01801802	0.08163265	0.02564103	0.01791045	0.04494382	0.04201681	0.14285714	0.01889535	0.01030928	0.01287554	0.09638554	0.02678571	0.03225806	0	0.01652893	0.10791367	0.03125
ee_	0.02284264	0.01322751	0.05341246	0.09189189	0.00186393	0.01538462	0.02105263	0.03671706	0.04545455	0.07058824	0	0	0	0	0.01465201	0.00597015	0.03932584	0	0	0.01598837	0.03865979	0.11158798	0.03614458	0.04464286	0.05645161	0.02777778	0.04545455	0.02158273	0
