dsa24,0
jhb32,0
snb39,0
nrg14,1
pmp27,0
rdp23,1
mjm248,1
ams396,1
jmk195,0
mac276,1
hwf2,1
mhr19,0
rwm27,1
mlk93,0
kko4,1
afd10,0
mjd78,0
sws19,1
rkh9,1
skm37,0
ril13,1
jrw98,0
jme42,0
bpc20,0
jdh99,0
wli1,1
aag45,0
wag7,1
rde8,0
kbs29,0
ecu4,0
mjg82,0
tar57,1
clk93,0
mjf68,1
res106,0
jah208,0
mad205,1
rhl10,0
kdd28,0
ams404,1
jlc201,0
qim8,1
brs112,0
alh133,0
anv35,1
inf4,1
jey16,0
jdh98,0
atr16,1
pjs52,0
egm18,1
jhg10,1
jdh73,1
leg33,0
kmh117,1
yaz44,1
bjs49,0
chg57,0
jky3,1
abr26,0
mjs187,0
ang92,1
kmt51,0
sbb28,0
sab155,0
rsb45,1
drr38,1
