,W1c,,,,,,,,W1d,,,,,,W2d,,,,,
fs_,1.53E-01,1.11E-02,2.61E-04,1.85E-02,0.00E+00,0.00E+00,1.55E-02,1.43E-02,9.05E-02,1.52E-02,2.39E-01,1.93E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ssss,0.00E+00,3.81E-02,0.00E+00,0.00E+00,1.35E-01,0.00E+00,1.11E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.95E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Fss,8.28E-04,2.42E-03,2.56E-03,4.91E-02,9.00E-02,0.00E+00,0.00E+00,4.68E-02,4.66E-02,1.75E-01,0.00E+00,0.00E+00,5.31E-03,1.55E-02,0.00E+00,2.40E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_FS_,1.94E-02,0.00E+00,9.91E-03,1.72E-02,0.00E+00,3.27E-01,2.70E-02,5.80E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.92E-02,2.03E-01,3.40E-02,1.54E-01,6.03E-03,9.35E-02
ssss_,0.00E+00,2.93E-02,0.00E+00,0.00E+00,7.00E-02,0.00E+00,2.74E-03,4.62E-04,6.09E-05,0.00E+00,0.00E+00,4.37E-04,0.00E+00,8.62E-02,0.00E+00,0.00E+00,1.53E-02,0.00E+00,0.00E+00,0.00E+00
fss,8.91E-03,2.72E-02,8.28E-03,0.00E+00,1.02E-01,3.49E-04,2.51E-03,6.38E-03,8.30E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.92E-02,8.33E-03,0.00E+00,0.00E+00,0.00E+00,1.11E-02,0.00E+00
Sss_,0.00E+00,1.29E-01,4.94E-04,6.83E-03,0.00E+00,0.00E+00,2.89E-03,5.23E-03,7.83E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.64E-03,5.57E-03,0.00E+00,0.00E+00,0.00E+00,1.00E-02,0.00E+00
Ssss,0.00E+00,6.94E-02,0.00E+00,0.00E+00,1.48E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.85E-02,0.00E+00,0.00E+00,1.66E-02,0.00E+00,0.00E+00,1.81E-03
eee,2.58E-03,2.18E-03,0.00E+00,1.23E-03,1.75E-02,8.24E-04,2.69E-01,8.45E-02,5.56E-03,0.00E+00,1.52E-03,0.00E+00,1.23E-01,2.21E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Fss,0.00E+00,0.00E+00,2.12E-03,3.56E-02,7.27E-02,0.00E+00,0.00E+00,4.27E-02,3.17E-02,1.74E-01,0.00E+00,0.00E+00,8.80E-04,1.50E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
eee_,4.42E-03,4.90E-03,0.00E+00,2.47E-03,1.97E-03,2.82E-03,1.49E-01,9.36E-02,1.89E-02,0.00E+00,2.56E-02,0.00E+00,0.00E+00,6.58E-05,0.00E+00,0.00E+00,0.00E+00,7.63E-03,0.00E+00,1.77E-03
Ffs,1.02E-01,5.56E-03,0.00E+00,2.90E-03,2.76E-02,7.30E-04,4.30E-03,1.59E-02,3.70E-02,9.63E-03,2.03E-02,1.49E-01,0.00E+00,1.09E-02,2.11E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FSs,2.07E-03,1.07E-02,0.00E+00,8.89E-02,4.49E-02,5.39E-03,0.00E+00,1.76E-02,1.59E-02,1.56E-02,0.00E+00,0.00E+00,0.00E+00,6.67E-03,3.40E-03,0.00E+00,0.00E+00,0.00E+00,3.31E-02,0.00E+00
_Sss_,0.00E+00,1.00E-01,1.29E-03,3.61E-03,0.00E+00,0.00E+00,5.63E-03,1.49E-03,8.51E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.41E-03,0.00E+00,0.00E+00,0.00E+00,2.97E-04,0.00E+00
_eee,1.01E-05,4.69E-03,0.00E+00,2.19E-03,7.74E-04,1.09E-04,1.00E-01,9.17E-02,0.00E+00,0.00E+00,4.73E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ffs,1.11E-02,1.01E-02,1.83E-02,1.07E-04,2.40E-02,1.87E-04,0.00E+00,1.72E-02,1.37E-01,0.00E+00,1.23E-01,0.00E+00,7.60E-02,2.83E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_ss,2.19E-03,5.64E-02,4.92E-03,1.05E-02,2.11E-02,1.01E-04,6.91E-04,4.13E-04,2.98E-02,7.97E-03,0.00E+00,2.53E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.49E-03,0.00E+00,0.00E+00,0.00E+00
_Ffs,8.02E-02,3.32E-03,0.00E+00,1.96E-03,1.95E-02,0.00E+00,2.85E-03,1.63E-02,3.30E-02,9.81E-03,0.00E+00,1.40E-01,0.00E+00,1.03E-02,2.23E-02,0.00E+00,1.68E-04,0.00E+00,0.00E+00,0.00E+00
fsss,0.00E+00,1.28E-02,1.37E-03,0.00E+00,6.87E-02,1.65E-03,2.68E-03,0.00E+00,2.24E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.02E-02,4.42E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.47E-03
sssss,0.00E+00,6.20E-03,0.00E+00,1.04E-03,5.77E-02,0.00E+00,7.21E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Ssss,0.00E+00,4.77E-02,0.00E+00,0.00E+00,8.12E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.30E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.04E-03
Fff,5.34E-02,1.93E-03,2.02E-02,2.17E-04,1.50E-02,6.89E-04,1.64E-03,1.91E-02,7.55E-02,0.00E+00,6.50E-02,1.77E-02,5.09E-02,2.56E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.69E-02
_FSs,0.00E+00,6.44E-03,0.00E+00,7.22E-02,3.77E-02,4.47E-03,0.00E+00,1.64E-02,2.70E-03,6.10E-03,0.00E+00,0.00E+00,0.00E+00,5.21E-03,0.00E+00,0.00E+00,7.21E-03,0.00E+00,3.60E-02,0.00E+00
_SS,0.00E+00,3.56E-02,0.00E+00,4.69E-02,0.00E+00,0.00E+00,2.99E-04,8.51E-04,0.00E+00,9.84E-02,0.00E+00,6.64E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.31E-01,0.00E+00,0.00E+00,0.00E+00
_ee_,0.00E+00,0.00E+00,1.52E-02,7.54E-03,0.00E+00,0.00E+00,5.81E-02,1.10E-01,0.00E+00,8.79E-02,5.26E-02,7.12E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sssss_,0.00E+00,6.47E-03,3.77E-04,0.00E+00,4.08E-02,0.00E+00,1.51E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.93E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SS_,0.00E+00,4.02E-03,0.00E+00,4.11E-02,1.47E-03,1.39E-02,0.00E+00,1.52E-03,0.00E+00,9.89E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.57E-02,0.00E+00,3.48E-01,0.00E+00,0.00E+00,0.00E+00
Fsss,6.00E-04,1.41E-02,3.94E-03,3.82E-03,4.96E-02,0.00E+00,9.34E-05,1.04E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.64E-03,1.67E-02,6.16E-04,1.60E-03,0.00E+00,1.11E-04,0.00E+00,0.00E+00
Fss_,8.98E-04,0.00E+00,2.60E-03,3.36E-02,2.49E-02,0.00E+00,0.00E+00,3.00E-02,4.75E-02,1.78E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FFs,5.76E-02,5.65E-03,0.00E+00,8.57E-03,2.46E-03,5.16E-03,1.84E-02,0.00E+00,2.55E-03,0.00E+00,1.99E-04,0.00E+00,8.00E-02,0.00E+00,3.48E-02,1.27E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_fs,3.71E-02,3.05E-03,1.71E-02,0.00E+00,1.67E-02,1.57E-03,1.63E-02,3.46E-04,3.86E-02,9.65E-03,7.56E-02,3.15E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FFS,2.65E-02,2.98E-03,0.00E+00,1.55E-02,7.83E-03,2.90E-02,2.27E-03,2.64E-04,0.00E+00,7.42E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.07E-01,0.00E+00,2.43E-02,0.00E+00,0.00E+00,0.00E+00
_eee_,5.85E-04,5.56E-03,0.00E+00,2.23E-03,0.00E+00,1.54E-03,5.94E-02,6.32E-02,0.00E+00,0.00E+00,3.77E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.01E-03,0.00E+00,0.00E+00
Sssss,0.00E+00,1.63E-02,0.00E+00,4.70E-05,1.19E-02,0.00E+00,2.29E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.26E-02,0.00E+00,0.00E+00,2.62E-02,0.00E+00,0.00E+00,0.00E+00
FFf,5.02E-02,3.74E-03,4.57E-03,5.57E-03,1.98E-02,0.00E+00,1.34E-03,0.00E+00,4.16E-04,1.01E-02,3.60E-02,0.00E+00,1.50E-02,3.12E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.03E-02,9.80E-02
Ffs_,8.01E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.88E-04,1.70E-03,1.89E-03,0.00E+00,1.31E-02,4.04E-02,1.55E-01,0.00E+00,0.00E+00,2.31E-02,0.00E+00,7.26E-03,0.00E+00,0.00E+00,0.00E+00
Ssss_,0.00E+00,4.98E-02,0.00E+00,8.29E-04,9.66E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.97E-03,0.00E+00,5.75E-04,1.59E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.58E-03
