0.07739938	0	0.03375527	0.03174603	0.05084746	0.07386364	0.01132075	0.01666667	0	0.08671329	0.00440529	0.08426966	0	0.07432432	0.06399132	0	0.00874636	0.04907975	0.02136752	0.06784661	0.03947368	0.11420613	0	0.05504587	0.03448276	0.06502636	0	0.01030928	0	0.07990315	0.08219178	0.02234637
0.09597523	0.04761905	0.00421941	0	0.01694915	0.07954545	0.00754717	0	0.08823529	0.08951049	0.00440529	0.10674157	0	0.06756757	0.04121475	0	0	0.03680982	0.06410256	0.03834808	0.05263158	0.09749304	0	0.00917431	0.03448276	0.06502636	0	0	0	0.04600484	0.05136986	0.03351955
0.01857585	0.02380952	0.03375527	0.07936508	0.02259887	0.03409091	0.0490566	0.06666667	0.05882353	0.0041958	0.11894273	0	0.03045685	0.03378378	0.01084599	0.125	0.06413994	0.03680982	0.05128205	0.0560472	0.02631579	0.02228412	0.08163265	0.06422018	0.06896552	0.0456942	0	0.13402062	0.1	0.02179177	0.02226027	0.02234637
0.06811146	0	0.08016878	0	0.02824859	0.07386364	0.00377358	0	0	0.09370629	0	0.03370787	0	0.04054054	0.13991323	0	0.00291545	0.02453988	0.0042735	0.01474926	0.02631579	0.05292479	0	0.03211009	0	0.03866432	0	0	0	0.10895884	0.1010274	0
0.07739938	0.02380952	0.00421941	0	0.03389831	0.05681818	0.01509434	0	0.08823529	0.05454545	0	0.03932584	0	0.05405405	0.02928416	0.025	0	0.04294479	0.07264957	0.03244838	0.07894737	0.0362117	0	0.01834862	0.06896552	0.05096661	0	0	0	0.01937046	0.03424658	0.03351955
0.01547988	0.02380952	0.02109705	0.07936508	0.01694915	0.01704545	0.05660377	0.10833333	0.05882353	0.0013986	0.14096916	0	0.05583756	0.01576577	0.0032538	0.15	0.06997085	0.03680982	0.04273504	0.04129794	0.01315789	0	0.12244898	0.04587156	0.03448276	0.03866432	0.02702703	0.16494845	0.1	0	0	0.02793296
0.03405573	0	0.02531646	0	0.02824859	0.02840909	0.00377358	0	0	0.06153846	0	0.01685393	0	0.02477477	0.04229935	0	0.00291545	0.02453988	0.0042735	0.00884956	0.01315789	0.04456825	0	0.02293578	0	0.0228471	0	0	0	0.05447942	0.0359589	0
0.05263158	0	0.00843882	0.01587302	0.00564972	0.02272727	0	0	0	0.06153846	0.00440529	0.1011236	0	0.03153153	0.02494577	0	0	0.01226994	0.01709402	0.00589971	0.01315789	0.09192201	0	0.00917431	0	0.02460457	0	0	0	0.0496368	0.03082192	0.01675978
0.01547988	0.11904762	0.02953586	0.06349206	0.07909605	0.02840909	0.07924528	0.075	0.08823529	0.00559441	0.03964758	0.01123596	0.07106599	0.02477477	0.00759219	0.15	0.03206997	0.05521472	0.08974359	0.01179941	0.10526316	0.01949861	0.14285714	0.05045872	0.06896552	0.01933216	0.08108108	0.02061856	0.05	0.0157385	0.01541096	0.06145251
0	0.07142857	0.08016878	0.01587302	0.02824859	0	0.05283019	0	0.05882353	0	0	0.03932584	0.08629442	0.01126126	0.01301518	0	0.04956268	0	0	0.0619469	0.01315789	0.00835655	0	0.02293578	0.06896552	0	0	0.06185567	0	0.00968523	0.01883562	0.07821229
