jdh98	7,35,5,26,13,0,7,6,0,4,2,11,14,6,43,15,27,0,0,5,0,49,90,33,55,21,33,12,1,5
dkd15	0,0,0,0,1,1,1,2,2,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
res106	12,38,21,13,7,2,4,10,3,7,13,12,22,27,23,11,10,3,3,12,7,59,129,39,80,24,52,16,4,32
ket38	0,4,4,0,1,0,2,4,0,4,3,0,0,7,0,0,0,0,0,4,2,4,0,0,0,0,0,0,3,0
rjm105	0,0,0,0,6,5,1,5,5,0,1,0,0,1,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0
kko4	13,0,0,0,14,14,11,6,6,0,4,17,9,0,0,0,0,20,11,0,3,0,0,0,0,0,0,0,4,0
alh133	0,37,24,10,11,5,21,26,16,8,15,0,0,29,14,5,7,9,22,11,8,37,22,13,8,5,2,2,15,9
wli1	0,2,2,0,2,2,4,10,5,3,4,0,0,2,1,0,1,2,6,4,3,7,3,2,1,1,0,0,5,1
pjs52	1,35,7,25,7,0,5,8,0,4,4,3,0,13,33,25,7,1,0,6,1,41,19,16,3,3,0,0,0,4
kav33	1,17,3,9,5,0,0,1,0,1,5,3,2,8,20,8,10,0,0,1,2,19,48,11,35,6,28,4,0,4
tjg49	0,14,0,13,2,0,1,3,0,3,2,0,0,1,19,1,17,0,0,3,2,19,93,18,70,13,54,9,1,2
bjs49	7,30,15,13,9,1,4,13,0,11,4,11,10,20,18,11,7,2,0,13,4,48,59,21,37,14,23,11,4,13
chg57	19,13,11,2,4,4,4,19,12,5,2,21,13,11,2,2,0,4,14,7,1,23,5,3,2,2,0,0,8,6
kmt51	3,2,2,0,11,9,8,14,7,7,7,5,2,4,2,2,0,10,10,8,3,12,7,5,1,0,0,0,2,5
ril13	0,1,0,1,9,9,19,27,26,0,12,0,0,0,1,1,0,17,32,0,3,1,0,0,0,0,0,0,8,0
jmk195	0,26,1,24,2,0,9,28,0,23,9,2,1,2,35,7,25,0,1,26,7,83,179,69,102,57,42,32,2,32
tar57	3,1,1,0,7,7,3,6,6,0,1,4,3,1,0,0,0,8,7,0,1,2,1,1,0,0,0,0,0,2
tol16	0,3,3,0,3,3,0,2,2,0,0,2,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
mjs187	18,1,0,1,7,6,1,8,5,3,4,19,17,1,2,1,1,6,5,3,2,8,19,6,12,4,7,3,0,3
qim8	0,15,10,4,21,12,9,12,7,1,3,0,0,17,4,2,1,16,10,1,2,5,1,1,0,0,0,0,5,0
afd10	15,17,13,2,6,2,8,23,8,7,26,17,14,19,3,3,0,3,9,7,10,29,11,7,4,4,0,0,7,14
nrg14	4,4,3,1,4,4,4,22,16,2,17,3,2,3,1,1,0,6,19,2,8,4,0,0,0,0,0,0,15,1
doc23	0,6,6,0,4,4,2,3,2,1,2,0,0,6,0,0,0,4,2,1,0,1,0,0,0,0,0,0,0,0
egm18	7,1,1,0,5,2,6,14,13,0,10,14,9,3,0,0,0,2,18,0,7,1,0,0,0,0,0,0,15,1
mjm248	7,1,0,1,4,3,8,18,11,4,10,9,4,1,1,1,0,7,16,5,5,10,2,2,0,0,0,0,14,7
ams396	13,0,0,0,6,5,6,11,7,4,5,17,10,1,0,0,0,5,8,5,3,6,1,1,0,0,0,0,4,1
jky3	10,3,2,1,4,2,3,26,22,3,11,11,4,3,2,0,2,2,24,3,4,6,5,4,1,1,0,0,7,2
rsb45	4,0,0,0,2,2,3,13,13,0,6,6,2,0,0,0,0,2,16,0,2,1,0,0,0,0,0,0,2,2
