,Wc,,,,W1d,,,,,,,,,,,,,,W2d,,,,,,,,,,,,,
_FSs,0.00E+00,1.51E-03,3.50E-03,1.25E-02,0.00E+00,1.63E-03,0.00E+00,0.00E+00,0.00E+00,2.75E-02,1.50E-01,1.46E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.16E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.74E-03,1.76E-02,0.00E+00,3.06E-02,0.00E+00,0.00E+00,0.00E+00
_SS,0.00E+00,0.00E+00,1.15E-03,0.00E+00,1.01E-02,0.00E+00,0.00E+00,1.18E-01,1.89E-02,0.00E+00,0.00E+00,1.14E-02,1.08E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.53E-02,2.26E-01,1.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_ee_,1.71E-02,0.00E+00,1.52E-01,0.00E+00,0.00E+00,9.09E-03,7.14E-04,5.97E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.34E-03,2.91E-02,0.00E+00,0.00E+00,0.00E+00,2.52E-02,0.00E+00,0.00E+00,0.00E+00,2.49E-03,0.00E+00,0.00E+00,0.00E+00,1.77E-02,0.00E+00,0.00E+00,0.00E+00
sssss_,2.67E-03,0.00E+00,4.46E-05,3.84E-02,1.80E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.19E-02,0.00E+00,0.00E+00,7.05E-03,5.42E-02,0.00E+00,2.41E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
SS_,0.00E+00,0.00E+00,5.90E-04,0.00E+00,0.00E+00,0.00E+00,2.95E-02,1.09E-01,2.96E-04,0.00E+00,0.00E+00,0.00E+00,6.13E-03,0.00E+00,0.00E+00,0.00E+00,1.14E-02,0.00E+00,1.88E-01,2.58E-01,2.91E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Fsss,0.00E+00,1.79E-02,0.00E+00,3.51E-02,0.00E+00,1.44E-03,0.00E+00,0.00E+00,0.00E+00,8.76E-02,2.18E-02,7.59E-03,0.00E+00,0.00E+00,0.00E+00,6.65E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.21E-03,0.00E+00,0.00E+00,5.16E-03,0.00E+00,5.75E-04,0.00E+00,0.00E+00,2.46E-03
Fss_,0.00E+00,5.01E-03,1.81E-02,5.54E-03,0.00E+00,0.00E+00,0.00E+00,1.47E-01,0.00E+00,2.13E-02,2.37E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E-01,1.39E-02,0.00E+00,1.49E-02,1.81E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.77E-02,0.00E+00,0.00E+00,0.00E+00
FFs,4.78E-03,4.59E-02,3.02E-03,2.33E-04,0.00E+00,3.62E-02,1.99E-02,0.00E+00,9.22E-02,0.00E+00,3.21E-03,0.00E+00,0.00E+00,4.76E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.88E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.41E-03,0.00E+00,0.00E+00,0.00E+00,5.74E-02,9.43E-02
_fs,5.55E-04,3.83E-02,3.21E-02,5.97E-03,0.00E+00,0.00E+00,5.96E-03,0.00E+00,0.00E+00,0.00E+00,1.48E-02,3.47E-03,2.32E-02,0.00E+00,9.82E-02,5.37E-03,1.71E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E-02,0.00E+00,0.00E+00,0.00E+00,5.78E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E-02,0.00E+00
FFS,6.20E-03,2.78E-02,0.00E+00,1.33E-04,0.00E+00,5.32E-03,5.28E-02,1.41E-02,1.09E-02,5.76E-03,1.98E-02,0.00E+00,0.00E+00,2.96E-03,0.00E+00,0.00E+00,0.00E+00,4.00E-03,1.69E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E-02,0.00E+00,4.14E-03,0.00E+00,7.03E-02,0.00E+00
