,Wc,,,,W1d,,,,,,,,,,,,,,W2d,,,,,,,,,,,,,
sfs,2.96E-03,2.07E-02,7.31E-04,2.13E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.23E-03,1.31E-02,0.00E+00,3.70E-02,0.00E+00,0.00E+00,0.00E+00,5.66E-02,0.00E+00,6.20E-03,0.00E+00,5.47E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
fSs,0.00E+00,5.56E-03,0.00E+00,2.43E-02,8.99E-03,0.00E+00,0.00E+00,1.53E-02,0.00E+00,3.14E-03,1.52E-02,0.00E+00,1.22E-02,1.41E-02,0.00E+00,0.00E+00,0.00E+00,1.49E-02,1.98E-03,2.24E-02,0.00E+00,0.00E+00,4.60E-04,0.00E+00,3.53E-03,0.00E+00,8.80E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sS_,0.00E+00,2.28E-02,0.00E+00,5.73E-03,4.20E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.07E-02,2.54E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.13E-02,2.46E-02,6.40E-03,4.03E-04,0.00E+00,0.00E+00,0.00E+00,1.66E-03,0.00E+00,8.34E-03,2.81E-02,0.00E+00,1.38E-02,0.00E+00,0.00E+00,0.00E+00
fS_,0.00E+00,0.00E+00,3.45E-03,0.00E+00,0.00E+00,0.00E+00,7.60E-03,4.00E-03,8.17E-02,5.79E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.76E-02,0.00E+00,4.08E-02,0.00E+00,8.56E-03,5.48E-03,0.00E+00,0.00E+00,0.00E+00,2.08E-01,3.54E-02,0.00E+00,0.00E+00,5.03E-05,0.00E+00,6.13E-02,1.22E-04
fss_,0.00E+00,4.02E-02,1.98E-04,1.93E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.47E-03,1.80E-02,4.48E-04,0.00E+00,0.00E+00,0.00E+00,3.04E-02,0.00E+00,4.37E-03,0.00E+00,1.24E-03,0.00E+00,0.00E+00,3.44E-03,0.00E+00,5.88E-03,0.00E+00,0.00E+00,3.53E-03,0.00E+00,0.00E+00,0.00E+00
fssss,1.80E-03,0.00E+00,3.09E-04,3.33E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.87E-02,0.00E+00,0.00E+00,2.47E-03,9.94E-03,0.00E+00,0.00E+00,1.95E-03,1.02E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FfS,0.00E+00,0.00E+00,0.00E+00,1.03E-02,0.00E+00,0.00E+00,1.18E-03,2.53E-02,2.10E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-02,0.00E+00,2.00E-02,0.00E+00,5.34E-02,4.35E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.19E-01,2.74E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.82E-02,1.63E-04
FSs_,2.07E-04,5.79E-05,7.05E-03,2.89E-04,0.00E+00,0.00E+00,0.00E+00,4.99E-03,0.00E+00,9.76E-03,1.38E-01,0.00E+00,0.00E+00,0.00E+00,5.67E-04,0.00E+00,0.00E+00,6.56E-04,0.00E+00,7.09E-03,5.95E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.14E-03,0.00E+00,4.90E-02,0.00E+00,0.00E+00,0.00E+00
_Ffs_,2.50E-04,2.15E-03,7.52E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.47E-02,0.00E+00,0.00E+00,1.30E-01,2.46E-02,0.00E+00,2.41E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.31E-04,0.00E+00,0.00E+00,0.00E+00,5.56E-02,0.00E+00
fff,0.00E+00,1.20E-01,3.33E-04,0.00E+00,0.00E+00,2.01E-04,0.00E+00,0.00E+00,9.36E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.06E-02,1.05E-02,0.00E+00,2.07E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_FFS,1.39E-02,5.80E-03,0.00E+00,1.89E-03,0.00E+00,5.41E-03,5.34E-02,1.42E-02,1.68E-02,6.52E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.37E-03,1.11E-01,1.22E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.42E-03,0.00E+00,3.42E-03,0.00E+00,4.22E-02,2.37E-02
_EE,1.44E-02,0.00E+00,0.00E+00,0.00E+00,6.08E-03,4.44E-02,7.49E-02,0.00E+00,0.00E+00,0.00E+00,1.11E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.03E-01,1.56E-01,0.00E+00,0.00E+00,3.02E-02,0.00E+00,3.93E-01,0.00E+00,0.00E+00
_FFf,1.33E-04,4.66E-02,1.20E-03,7.32E-03,8.53E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.82E-03,1.04E-02,0.00E+00,0.00E+00,3.58E-03,2.16E-02,2.83E-03,0.00E+00,2.30E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.71E-02,2.46E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_fs_,1.08E-04,1.80E-02,2.48E-02,8.23E-04,0.00E+00,0.00E+00,0.00E+00,1.82E-03,0.00E+00,0.00E+00,0.00E+00,4.22E-03,0.00E+00,0.00E+00,1.11E-01,1.59E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.25E-02,0.00E+00,2.83E-03,0.00E+00,1.04E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.55E-03,0.00E+00
ffs_,0.00E+00,4.40E-02,4.22E-03,0.00E+00,0.00E+00,3.65E-02,3.03E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.05E-02,0.00E+00,4.38E-02,3.12E-02,3.48E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.56E-03,0.00E+00,0.00E+00,8.78E-05
FSss,1.66E-06,9.01E-03,0.00E+00,1.08E-02,1.88E-02,2.58E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.51E-02,2.49E-02,0.00E+00,5.58E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.84E-03,0.00E+00,7.88E-03,0.00E+00,0.00E+00,3.16E-03,0.00E+00,0.00E+00,9.27E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_ff,1.62E-03,2.67E-02,1.04E-02,2.36E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.10E-02,0.00E+00,3.82E-02,0.00E+00,8.15E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E-03
eeee,4.65E-02,3.59E-05,1.80E-03,1.41E-02,0.00E+00,2.06E-01,1.01E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
