aag45	h	1,0.58,0.42,0.42,0.37,0.17,0.13,0.31,0.27,0.25,0.15,0.29,0.27,0.15,0.21,0.23,0.13,0.23,0.1,0.13,0.1,0.15,0.08,0.35,0.13,0.15,0.08,0.1,0.19,0.08
abr26	l	1,0.33,0.67,0.25,0.58,0.25,0.42,0.75,1,0,0.5,0.25,0.58,0,0.17,0.17,0.83,0.17,0.42,0.08,0.08,0.33,0.42,0.67,0.08,0.67,0.08,0.08,0.42,0.33
alh133	m	1,0.57,0.56,0.45,0.35,0.16,0.36,0.25,0.29,0.28,0.23,0.4,0.19,0.25,0.19,0.28,0.17,0.29,0.15,0.11,0.13,0.17,0.17,0.25,0.24,0.13,0.08,0.12,0.17,0.09
ams396	m	0.67,0.58,1,0,0.08,0.08,0.67,0.75,0.5,0,0.5,0.67,0.5,0,0.25,0,0.42,0.5,0.42,0,0.25,0,0.42,0.58,0.25,0.42,0,0.33,0.5,0.17
ams404	h	0,0,0.96,0,0,0,0.93,0.52,0.41,0,0.48,1,0.37,0,0,0,0.26,0.37,0.52,0,0.41,0,0.44,0.52,0.22,0.41,0,0.37,0.3,0.37
ang92	l	0,0,0.5,0.25,0,0,0.5,0.25,1,0.25,0.25,0,0.25,0,0,0.25,1,0.25,0.25,0,0,0,0.25,0,0.25,1,0,0,0,0.25
anv35	l	0.27,0.23,1,0.15,0.04,0.04,0.92,0.73,0.5,0.04,0.62,0.38,0.58,0.04,0.08,0.12,0.35,0.31,0.58,0,0.15,0,0.58,0.65,0.27,0.38,0,0.15,0.38,0.54
art47	h	0.44,0.44,1,0.33,0,0,0.78,0.22,0,0.33,0.11,0.33,0.22,0.22,0.22,0.33,0,0.56,0.22,0,0.33,0,0.11,0,0.56,0,0,0.22,0,0.22
atg23	l	1,0.67,0.44,0.78,0.22,0.11,0.11,0.33,0.56,0.56,0.11,0.56,0.33,0.22,0.22,0.33,0.33,0.22,0.22,0.33,0,0,0.11,0.11,0.11,0.33,0,0.11,0.11,0.22
avn10	l	1,0.58,0.03,0.61,0.39,0.19,0,0.06,0.06,0.47,0,0,0.03,0.14,0.03,0.14,0.03,0,0,0.42,0,0.19,0,0.08,0,0,0.08,0,0,0
bjs49	m	1,0.42,0.21,0.3,0.56,0.22,0.04,0.04,0.15,0.21,0.08,0.09,0.04,0.15,0.18,0.19,0.12,0.09,0,0.07,0.04,0.33,0.01,0.04,0.04,0.02,0.11,0.04,0.03,0
bpc20	l	1,0.52,0.25,0.61,0.38,0.23,0.05,0.07,0.11,0.43,0.08,0.13,0.03,0.2,0.15,0.33,0.07,0.05,0.03,0.25,0.08,0.11,0.02,0.08,0.02,0.03,0.07,0,0.07,0.02
brs112	h	1,0.65,0.14,0.54,0.34,0.23,0.05,0.09,0.08,0.4,0.08,0.11,0.08,0.31,0.09,0.31,0.06,0,0.02,0.2,0,0.09,0.02,0.02,0,0,0.08,0.02,0.02,0
cac189	l	0,0,1,0,0,0,1,0.8,1,0,0.8,0.2,0.6,0,0,0,1,0.4,0.8,0,0.2,0,0.8,0.2,0.4,0.8,0,0.2,0.2,0.6
chg57	h	0.93,0.7,1,0.43,0.2,0.13,0.57,0.43,0.1,0.4,0.6,0.43,0.4,0.37,0.27,0.4,0.07,0.13,0.3,0,0.13,0.07,0.4,0.2,0.07,0.03,0.07,0.17,0.1,0.27
clk93	l	1,0.61,0.39,0.38,0.35,0.25,0.12,0.29,0.16,0.26,0.12,0.13,0.19,0.19,0.25,0.22,0.12,0.14,0.12,0.1,0.07,0.09,0.04,0.2,0.13,0.06,0.07,0.06,0.16,0.07
djp60	l	0,0,0.43,0,0,0,0.43,1,1,0,0.29,0.29,0.57,0,0,0,0.86,0.14,1,0,0.14,0,0.29,0.86,0,1,0,0,0.57,0.57
dkd15	m	0,0,0.33,0,0,0,0.33,0.67,0.33,0,0,0.33,0.67,0,0,0,0.33,0.33,0.67,0,0.33,0,0,1,0.33,0.33,0,0.33,0.33,0.67
doc23	m	1,1,0.5,0.75,0,0,0.25,0.75,0.5,0.75,0.5,0,0.75,0.75,0.25,0.75,0.5,0.75,0.75,0,0,0,0.25,0.75,0.5,0.5,0,0,0.5,0.75
drr38	l	0.14,0.14,0.14,0,0,0,0.14,0.29,0.71,0,0,0.71,0.14,0,0,0,0.29,0.29,0,0,0.14,0,0,1,0.29,0.71,0,0.29,0.71,0
dsa24	l	1,0.49,0.37,0.23,0.49,0.28,0.07,0.23,0.3,0,0.19,0.12,0.21,0,0.28,0.21,0.26,0.12,0.02,0.02,0.07,0.21,0.05,0.05,0.12,0.05,0.14,0.07,0.05,0.02
egm18	m	0.05,0.05,1,0.09,0,0,0.91,0.59,0.23,0.05,0.41,0.86,0.45,0,0.05,0.09,0.23,0.55,0.59,0,0.32,0,0.36,0.32,0.41,0.18,0,0.18,0.18,0.45
hwf2	h	0.21,0.21,1,0,0,0,1,0.07,0.21,0,0.43,0.86,0.07,0.21,0,0,0.21,0.21,0.07,0,0.57,0,0.43,0.07,0.14,0.21,0,0.43,0.07,0.07
inf4	l	0.06,0.06,1,0.03,0,0,1,0.4,0.46,0,0.4,0.97,0.34,0.03,0,0,0.31,0.51,0.37,0.03,0.43,0,0.4,0.29,0.31,0.43,0,0.31,0.2,0.31
jah208	l	0.57,0.17,0.4,1,0.2,0.03,0.23,0.13,0.53,0.37,0.2,0.33,0.07,0,0.1,0.6,0.3,0.13,0.1,0.27,0.17,0.1,0.2,0.23,0.1,0.17,0.03,0.1,0.17,0.03
jam267	l	0.2,0.2,0.2,0.2,0,0,0.2,0.4,1,0,0,0.6,0.4,0,0,0.2,0,0.4,0.2,0,0.2,0,0,0.8,0.2,0.6,0,0.2,0.8,0.2
jaw154	h	1,0.5,0.75,0,0.5,0.25,0.5,0.75,0.5,0,0.5,0.75,0.75,0,0.25,0,0.25,0,0.5,0,0.25,0.25,0.25,0.25,0,0.5,0.25,0.5,0.25,0.5
jdh73	l	1,0.67,1,0.78,0.22,0.22,0.56,0.67,0.89,0.33,0.44,0.56,0.44,0.33,0.33,0.56,0.78,0.22,0.56,0.11,0.11,0,0.11,0.22,0.22,0.56,0,0.56,0.22,0.33
jdh98	h	1,0.31,0.09,0.29,0.64,0.22,0.01,0.05,0.11,0.18,0.03,0.04,0.04,0.05,0.08,0.07,0.05,0.03,0,0.18,0.03,0.41,0,0.07,0.03,0.01,0.15,0.01,0.02,0
jdh99	l	1,0.47,0.94,0.35,0.41,0.24,0.41,0.41,0.76,0.24,0.41,0.59,0.29,0.18,0.29,0.24,0.29,0.59,0.35,0.06,0.18,0.06,0.12,1,0.24,0.29,0,0.12,0.53,0.24
jhb32	h	1,0.48,0.57,0.46,0.41,0.17,0.2,0.24,0.63,0.22,0.09,0.54,0.17,0.11,0.24,0.2,0.28,0.2,0.11,0.17,0.22,0.22,0.02,0.5,0.09,0.07,0.04,0.24,0.26,0.11
jhg10	h	0,0,1,0.11,0,0,1,0.33,0.22,0.06,0.44,0.67,0.33,0,0,0.11,0.22,0.17,0.33,0,0.5,0,0.44,0.11,0.11,0.17,0,0.39,0.06,0.33
jky3	m	0.62,0.33,1,0.04,0.25,0.17,0.79,0.71,0.17,0,0.5,0.58,0.71,0.12,0.12,0,0.17,0.33,0.58,0.04,0.33,0.08,0.46,0.12,0.33,0.08,0.08,0.25,0.04,0.58
jlc201	l	1,0.4,0.14,0.42,0.56,0.26,0,0.01,0.02,0.22,0.01,0.15,0.01,0.19,0.13,0.2,0.02,0.17,0.01,0.12,0.07,0.28,0,0.01,0.14,0,0.17,0.06,0.01,0.01
jme42	h	1,0.69,0.69,0.23,0.31,0.31,0.31,0.62,0.46,0.08,0.46,0.31,0.62,0,0.38,0.23,0.46,0.08,0.31,0,0.15,0,0.23,0.08,0,0.15,0,0.15,0.08,0.31
jmk195	m	1,0.29,0.19,0.08,0.65,0.24,0.01,0.07,0.05,0.04,0.06,0.15,0.05,0.07,0.17,0,0.02,0.03,0,0.06,0.05,0.39,0,0.04,0.02,0,0.2,0.04,0.02,0
jrw98	h	1,0.59,0.22,0.29,0.4,0.25,0.1,0.13,0.13,0.24,0.13,0.14,0.08,0.3,0.13,0.14,0.06,0.06,0.05,0.1,0.05,0.14,0.06,0.06,0.06,0.05,0.08,0.08,0.05,0.05
jum48	l	0.43,0.43,0.71,0.29,0,0,0.57,0.43,0.86,0,0.43,0.71,0.29,0,0.14,0,0.57,0,0.29,0.14,0.14,0,0.43,1,0,0.43,0,0.29,0.57,0.29
kan63	l	1,1,1,0.5,0,0,0,0.5,1,0.5,1,0,0.5,0,1,0.5,1,0,0.5,0,0,0,0,0,0,1,0,0,0,0.5
kav33	h	1,0.27,0.09,0.3,0.68,0.19,0,0.02,0.02,0.15,0.02,0.04,0.02,0.07,0.09,0.09,0.02,0.04,0,0.14,0.02,0.47,0,0,0.04,0,0.09,0.02,0,0
kbs29	h	1,0.47,0.12,0.59,0.45,0.16,0.04,0.14,0.14,0.41,0.06,0.02,0.08,0.2,0.08,0.39,0.12,0.06,0,0.14,0.02,0.25,0,0.06,0.06,0.02,0.12,0,0.04,0
kdd28	l	1,0.44,0.33,0.89,0.44,0.11,0.22,0.11,0.89,0.56,0.22,0,0,0.33,0.11,0.89,0.89,0,0,0,0,0.33,0.22,0.11,0,0.22,0.11,0,0.11,0
ket38	m	0.83,0.83,1,1,0,0,0.5,0.33,0.17,0.67,0.5,0.5,0.33,0,0.5,1,0.17,0.33,0,0,0.5,0,0.17,0.33,0.17,0,0,0.5,0.17,0
kko4	m	0,0,0.8,0,0,0,0.8,0.67,1,0,0.27,0.67,0.47,0,0,0,0.6,0.2,0.6,0,0.4,0,0.27,0.87,0.2,1,0,0.4,0.6,0.47
kmh117	h	0.52,0.34,0.83,0.07,0.1,0.1,0.45,0.28,0.38,0,0.34,1,0.17,0.03,0.21,0.03,0.24,0.24,0.1,0.03,0.28,0,0.21,0.21,0.14,0.31,0,0.24,0.17,0.1
kmt51	m	1,0.6,0.6,0.15,0.35,0.3,0.3,0.8,0.6,0.1,0.1,0.55,0.7,0,0.3,0.1,0.45,0.35,0.4,0,0.2,0.05,0.05,0.15,0.35,0.4,0.05,0.25,0.15,0.35
