saa128	1	0,0,1,1,0,0,1,3,9,0,1,0,1,0,0,1,8,0,2,0,0,0,1,2,0,7,0,0,2,1
jhb32	0	46,22,26,21,19,8,9,11,29,10,4,25,8,5,11,9,13,9,5,8,10,10,1,23,4,3,2,11,12,5
nrg14	1	5,5,27,3,0,0,26,17,6,3,12,23,14,1,0,2,3,16,13,1,12,0,12,5,13,4,0,6,3,10
pmp27	0	150,55,32,24,84,41,4,14,12,12,11,26,11,21,22,10,7,10,0,11,10,38,1,11,7,2,13,7,8,0
rdp23	1	7,5,32,5,1,1,32,14,12,3,18,17,10,3,0,2,11,9,12,1,8,0,18,8,6,11,0,8,5,8
mjm248	1	15,10,46,2,2,2,25,9,11,1,16,55,6,1,10,0,4,12,7,1,21,0,9,10,10,5,0,17,6,4
ams396	1	8,7,12,0,1,1,8,9,6,0,6,8,6,0,3,0,5,6,5,0,3,0,5,7,3,5,0,4,6,2
jaw154	0	4,2,3,0,2,1,2,3,2,0,2,3,3,0,1,0,1,0,2,0,1,1,1,1,0,2,1,2,1,2
tjg49	0	114,19,6,17,89,19,1,1,2,9,2,7,1,6,5,0,2,3,0,13,2,65,0,1,1,0,14,2,1,0
hwf2	1	3,3,14,0,0,0,14,1,3,0,6,12,1,3,0,0,3,3,1,0,8,0,6,1,2,3,0,6,1,1
mhr19	0	29,14,17,8,15,6,12,16,5,8,14,11,15,7,4,6,5,2,14,1,3,9,11,3,1,5,4,7,3,14
rwm27	1	1,1,11,1,0,0,11,3,7,1,6,5,2,1,0,1,6,2,3,0,3,0,6,2,2,7,0,4,2,2
mjd78	0	64,47,21,31,14,9,8,11,8,25,6,7,8,22,12,20,6,5,3,10,5,4,0,4,3,2,2,3,3,2
sws19	1	0,0,1,1,0,0,1,2,2,0,0,1,2,0,0,1,2,0,2,0,1,0,0,1,0,2,0,1,1,2
rkh9	1	0,0,12,1,0,0,12,2,4,1,7,6,2,0,0,1,4,3,2,0,3,0,7,0,2,4,0,4,0,2
sjt27	1	0,0,6,1,0,0,6,3,1,1,1,4,3,0,0,1,1,3,3,0,3,0,1,0,3,1,0,3,0,3
jme42	0	13,9,9,3,4,4,4,8,6,1,6,4,8,0,5,3,6,1,4,0,2,0,3,1,0,2,0,2,1,4
teh26	0	2,2,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aag45	0	52,30,22,22,19,9,7,16,14,13,8,15,14,8,11,12,7,12,5,7,5,8,4,18,7,8,4,5,10,4
rde8	0	18,12,16,10,5,5,10,2,3,8,6,5,2,4,4,5,3,3,2,5,5,0,4,0,3,1,0,3,0,2
mjf68	1	1,1,21,0,0,0,21,9,7,0,11,7,7,1,0,0,3,11,8,0,4,0,11,11,5,7,0,3,7,7
brs112	0	65,42,9,35,22,15,3,6,5,26,5,7,5,20,6,20,4,0,1,13,0,6,1,1,0,0,5,1,1,0
egm18	1	1,1,22,2,0,0,20,13,5,1,9,19,10,0,1,2,5,12,13,0,7,0,8,7,9,4,0,4,4,10
jhg10	1	0,0,18,2,0,0,18,6,4,1,8,12,6,0,0,2,4,3,6,0,9,0,8,2,2,3,0,7,1,6
kav33	0	81,22,7,24,55,15,0,2,2,12,2,3,2,6,7,7,2,3,0,11,2,38,0,0,3,0,7,2,0,0
kmh117	1	15,10,24,2,3,3,13,8,11,0,10,29,5,1,6,1,7,7,3,1,8,0,6,6,4,9,0,7,5,3
mjf68	1	1,1,8,0,0,0,8,13,3,0,2,4,11,0,0,0,3,3,12,0,4,0,2,4,2,3,0,3,4,10
yaz44	1	4,4,15,0,0,0,14,3,5,0,10,8,2,4,0,0,4,3,3,0,2,0,9,2,2,5,0,2,2,2
fek10	1	0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
ket38	1	5,5,6,6,0,0,3,2,1,4,3,3,2,0,3,6,1,2,0,0,3,0,1,2,1,0,0,3,1,0
