,,,,,Wc,,,,,,,,W1d,,,,,,W2d,,,,,
fs_,1,0,3,3,1.64E-01,0.00E+00,5.21E-03,6.68E-03,2.57E-02,2.77E-04,1.41E-02,0.00E+00,1.10E-01,2.92E-02,2.90E-01,0.00E+00,9.03E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.97E-02,0.00E+00
ssss,0,2,2,1,0.00E+00,0.00E+00,0.00E+00,1.81E-03,2.81E-05,0.00E+00,6.64E-02,1.50E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.80E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.42E-03
Fss,0,0,0,4,6.45E-03,0.00E+00,1.17E-01,1.21E-01,3.84E-03,0.00E+00,0.00E+00,6.28E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.62E-02,9.02E-03,0.00E+00,1.55E-03,0.00E+00,3.76E-03,0.00E+00,0.00E+00
_FS_,1,1,1,2,2.11E-02,3.20E-01,7.95E-04,0.00E+00,4.17E-02,1.21E-02,0.00E+00,2.19E-03,2.13E-02,0.00E+00,0.00E+00,2.63E-01,0.00E+00,0.00E+00,2.66E-02,0.00E+00,1.42E-02,2.76E-02,0.00E+00,0.00E+00
ssss_,0,2,2,1,0.00E+00,0.00E+00,5.65E-04,9.22E-04,2.74E-05,0.00E+00,4.03E-02,7.41E-02,1.92E-04,0.00E+00,0.00E+00,0.00E+00,1.50E-03,7.58E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.49E-02
fss,0,0,0,0,3.39E-03,0.00E+00,8.35E-02,0.00E+00,1.18E-03,1.32E-02,1.89E-02,8.12E-02,0.00E+00,0.00E+00,1.17E-02,8.27E-03,0.00E+00,1.74E-02,0.00E+00,0.00E+00,2.99E-03,0.00E+00,1.52E-03,0.00E+00
Sss_,0,2,0,4,0.00E+00,0.00E+00,2.40E-02,0.00E+00,6.54E-06,9.63E-04,7.32E-02,5.78E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.31E-02,0.00E+00,1.93E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Ssss,0,2,2,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.71E-02,1.20E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.02E-02,0.00E+00,2.11E-03,1.73E-03,0.00E+00,0.00E+00,6.80E-03
eee,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.06E-01,5.60E-04,0.00E+00,6.42E-02,0.00E+00,3.13E-01,0.00E+00,0.00E+00,8.81E-02,0.00E+00,0.00E+00,6.53E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Fss,0,0,0,0,3.31E-03,0.00E+00,8.79E-02,1.22E-01,3.72E-03,0.00E+00,0.00E+00,5.32E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.38E-03,7.93E-03,0.00E+00,0.00E+00,0.00E+00,2.28E-03,0.00E+00,0.00E+00
eee_,0,0,0,0,3.52E-03,3.70E-04,0.00E+00,0.00E+00,1.62E-01,1.89E-03,9.49E-04,2.96E-02,0.00E+00,8.94E-02,0.00E+00,0.00E+00,9.73E-02,0.00E+00,0.00E+00,1.33E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Ffs,0,0,3,0,1.30E-01,0.00E+00,7.26E-03,2.72E-04,2.21E-02,0.00E+00,8.54E-03,2.32E-02,5.42E-02,5.68E-04,1.15E-01,0.00E+00,0.00E+00,9.54E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.38E-02,0.00E+00
