,(W1c+W2c)/2,,,,,,,,W1d,,,,,,,,,,,,,,W2d,,,,,,,,,,,,,
Ffs_,0.00E+00,0.00E+00,5.44E-04,1.30E-03,2.50E-03,5.25E-04,5.32E-02,0.00E+00,0.00E+00,4.51E-02,0.00E+00,0.00E+00,0.00E+00,1.93E-01,9.29E-04,0.00E+00,0.00E+00,0.00E+00,1.76E-03,5.57E-02,0.00E+00,0.00E+00,2.35E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.72E-02,0.00E+00,2.89E-03,0.00E+00,0.00E+00,0.00E+00,1.99E-02,0.00E+00
Ssss_,0.00E+00,4.45E-02,0.00E+00,0.00E+00,4.81E-03,0.00E+00,0.00E+00,6.14E-03,0.00E+00,0.00E+00,1.50E-02,0.00E+00,1.60E-02,0.00E+00,1.12E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.43E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.30E-03,2.23E-03,0.00E+00
_Fss_,5.38E-02,0.00E+00,0.00E+00,0.00E+00,1.87E-02,5.19E-03,0.00E+00,8.97E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.50E-03,0.00E+00,9.38E-03,3.25E-02,0.00E+00,1.93E-01,0.00E+00,1.94E-02,0.00E+00,1.51E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.51E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.41E-03,0.00E+00
_Fsss,1.96E-02,3.90E-03,0.00E+00,0.00E+00,8.97E-03,9.61E-04,0.00E+00,3.53E-02,1.91E-03,0.00E+00,1.12E-03,0.00E+00,3.00E-02,0.00E+00,0.00E+00,0.00E+00,9.05E-03,2.65E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.72E-03,0.00E+00,0.00E+00,9.84E-05,0.00E+00
_Fff,0.00E+00,1.71E-05,0.00E+00,1.39E-02,2.37E-02,3.47E-04,9.17E-03,7.33E-03,0.00E+00,7.14E-02,0.00E+00,1.27E-03,0.00E+00,0.00E+00,0.00E+00,3.25E-02,7.87E-02,0.00E+00,0.00E+00,2.53E-02,5.22E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.34E-03,0.00E+00
_FFs,2.06E-03,4.92E-03,4.64E-02,9.30E-03,1.56E-03,0.00E+00,2.06E-02,1.57E-04,7.48E-02,9.73E-03,0.00E+00,4.58E-02,0.00E+00,1.76E-02,8.45E-03,2.39E-03,5.91E-03,0.00E+00,0.00E+00,7.92E-03,1.19E-03,0.00E+00,0.00E+00,0.00E+00,3.31E-02,0.00E+00,0.00E+00,0.00E+00,2.91E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.03E-02,0.00E+00
_ss_,7.61E-03,3.18E-02,2.37E-04,0.00E+00,7.62E-03,0.00E+00,2.65E-02,1.08E-03,0.00E+00,9.70E-05,0.00E+00,0.00E+00,4.89E-02,2.98E-03,0.00E+00,0.00E+00,0.00E+00,8.20E-04,7.42E-03,0.00E+00,0.00E+00,0.00E+00,9.78E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.08E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
sfs,2.36E-04,1.53E-04,4.89E-05,1.93E-04,3.14E-02,1.07E-03,5.04E-04,2.42E-02,0.00E+00,0.00E+00,0.00E+00,4.47E-02,2.89E-02,0.00E+00,0.00E+00,3.64E-02,5.16E-03,0.00E+00,0.00E+00,0.00E+00,2.54E-02,0.00E+00,5.64E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.68E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.40E-03,0.00E+00,0.00E+00,0.00E+00
fSs,1.96E-03,1.65E-02,0.00E+00,0.00E+00,1.85E-02,0.00E+00,3.68E-04,1.27E-02,0.00E+00,0.00E+00,1.10E-02,0.00E+00,2.04E-02,2.56E-03,8.28E-03,0.00E+00,0.00E+00,0.00E+00,1.17E-02,0.00E+00,0.00E+00,0.00E+00,1.63E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.11E-02,0.00E+00,0.00E+00,0.00E+00,2.81E-03,0.00E+00,0.00E+00
sS_,1.12E-02,2.26E-02,0.00E+00,0.00E+00,3.07E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E-03,0.00E+00,0.00E+00,0.00E+00,4.28E-03,6.77E-03,4.51E-02,0.00E+00,0.00E+00,0.00E+00,1.95E-02,0.00E+00,7.01E-04,0.00E+00,1.43E-02,0.00E+00,0.00E+00,8.31E-03,1.08E-03,6.60E-05,0.00E+00,0.00E+00,7.66E-03,0.00E+00,0.00E+00,0.00E+00
fS_,2.15E-02,0.00E+00,2.29E-02,9.49E-04,9.48E-05,1.34E-03,0.00E+00,0.00E+00,0.00E+00,1.44E-01,0.00E+00,6.58E-03,0.00E+00,1.01E-02,0.00E+00,1.76E-02,0.00E+00,0.00E+00,7.41E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.83E-03,0.00E+00,1.54E-02,4.68E-04,3.02E-02,3.66E-02,0.00E+00,2.03E-01,1.40E-02,1.76E-02
fss_,8.55E-03,2.07E-03,0.00E+00,1.35E-04,5.46E-02,7.85E-04,2.13E-03,5.59E-03,0.00E+00,0.00E+00,0.00E+00,2.19E-02,1.94E-02,0.00E+00,0.00E+00,1.53E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.19E-03,0.00E+00,0.00E+00,0.00E+00,1.97E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.49E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
fssss,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.42E-04,0.00E+00,4.37E-02,0.00E+00,6.62E-04,0.00E+00,0.00E+00,2.85E-02,0.00E+00,0.00E+00,1.18E-03,0.00E+00,0.00E+00,4.40E-04,0.00E+00,1.15E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.55E-04,0.00E+00,0.00E+00
FfS,7.93E-04,4.29E-03,7.02E-03,5.67E-04,7.39E-03,0.00E+00,0.00E+00,7.05E-03,0.00E+00,5.81E-02,0.00E+00,0.00E+00,0.00E+00,1.38E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.55E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.61E-03,0.00E+00,3.27E-02,7.97E-02,0.00E+00,1.87E-01,2.29E-02,3.82E-02
FSs_,9.27E-02,6.11E-03,7.35E-03,0.00E+00,4.16E-03,1.12E-03,0.00E+00,3.54E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.06E-03,0.00E+00,0.00E+00,1.24E-02,3.93E-05,1.84E-02,0.00E+00,1.27E-03,0.00E+00,4.58E-03,0.00E+00,0.00E+00,0.00E+00,1.21E-02,0.00E+00,0.00E+00,4.21E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_Ffs_,0.00E+00,0.00E+00,4.08E-04,2.51E-04,6.23E-03,1.19E-03,3.54E-02,0.00E+00,0.00E+00,4.22E-02,0.00E+00,8.75E-04,0.00E+00,1.87E-01,2.39E-03,9.44E-04,0.00E+00,0.00E+00,3.48E-03,2.49E-02,0.00E+00,0.00E+00,7.97E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.57E-02,0.00E+00,3.91E-03,0.00E+00,0.00E+00,0.00E+00,1.49E-02,0.00E+00
fff,0.00E+00,0.00E+00,0.00E+00,1.42E-03,5.02E-02,1.95E-03,8.70E-03,5.26E-05,3.02E-02,0.00E+00,4.76E-03,2.15E-01,0.00E+00,0.00E+00,0.00E+00,1.47E-01,5.55E-02,0.00E+00,0.00E+00,1.00E-01,1.00E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.45E-03,6.80E-04,0.00E+00
_FFS,0.00E+00,2.16E-03,2.54E-02,3.13E-04,1.91E-02,4.69E-03,1.34E-05,4.72E-04,8.73E-03,0.00E+00,0.00E+00,2.39E-03,1.03E-05,1.08E-02,0.00E+00,0.00E+00,0.00E+00,5.67E-02,8.95E-03,0.00E+00,0.00E+00,0.00E+00,3.16E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.81E-02,0.00E+00,1.15E-02,0.00E+00,0.00E+00,0.00E+00,4.33E-02,0.00E+00
_EE,2.57E-04,8.99E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E-02,3.70E-04,9.13E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.29E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.89E-02,0.00E+00,4.63E-01,0.00E+00,4.62E-02,0.00E+00,0.00E+00,0.00E+00,1.00E-01,4.26E-02,3.33E-02,0.00E+00,3.92E-02
_FFf,7.06E-03,0.00E+00,0.00E+00,6.44E-04,3.04E-02,4.52E-05,4.82E-03,8.48E-03,0.00E+00,4.48E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.53E-04,1.80E-03,1.65E-02,0.00E+00,0.00E+00,3.73E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E-03,0.00E+00,1.06E-02,0.00E+00,0.00E+00,1.10E-01,0.00E+00,0.00E+00
_fs_,2.85E-03,0.00E+00,0.00E+00,6.84E-06,2.30E-05,9.72E-05,5.48E-02,7.76E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.25E-03,3.87E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.31E-03,8.56E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.65E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ffs_,2.16E-04,0.00E+00,0.00E+00,1.64E-02,8.53E-03,0.00E+00,3.41E-02,0.00E+00,1.92E-02,2.64E-03,0.00E+00,2.16E-02,1.39E-02,0.00E+00,0.00E+00,2.02E-02,2.59E-02,0.00E+00,0.00E+00,8.14E-02,2.57E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
FSss,4.56E-04,1.27E-02,0.00E+00,0.00E+00,3.05E-02,2.21E-05,0.00E+00,6.71E-03,1.29E-03,0.00E+00,1.66E-02,0.00E+00,1.13E-04,0.00E+00,1.23E-02,0.00E+00,1.90E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.27E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.71E-03,0.00E+00,0.00E+00,0.00E+00
_ff,0.00E+00,1.07E-03,0.00E+00,6.31E-04,1.41E-02,5.70E-03,6.75E-03,9.73E-04,0.00E+00,0.00E+00,0.00E+00,5.94E-02,2.62E-02,0.00E+00,0.00E+00,4.57E-02,4.01E-03,0.00E+00,0.00E+00,6.43E-02,2.89E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.34E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
eeee,0.00E+00,0.00E+00,0.00E+00,1.03E-04,0.00E+00,5.53E-02,1.47E-02,2.46E-02,2.11E-01,0.00E+00,0.00E+00,3.48E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.07E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
