,(W1c+W2c)/2,,,,,,,,W1d,,,,,,,,,,,,,,W2d,,,,,,,,,,,,,
_FF,1.31E-02,3.61E-03,6.48E-02,5.29E-03,1.01E-01,1.68E-03,5.10E-02,1.06E-02,9.24E-02,3.95E-02,3.96E-03,4.14E-02,8.29E-06,1.68E-02,0.00E+00,0.00E+00,4.23E-02,1.18E-01,8.75E-03,2.33E-02,0.00E+00,0.00E+00,3.06E-02,0.00E+00,8.45E-02,0.00E+00,0.00E+00,0.00E+00,3.33E-01,0.00E+00,8.14E-02,0.00E+00,0.00E+00,4.08E-02,6.52E-02,0.00E+00
_Sss,0.00E+00,1.64E-01,0.00E+00,0.00E+00,1.05E-02,1.61E-03,0.00E+00,2.86E-04,0.00E+00,0.00E+00,5.32E-02,0.00E+00,6.77E-02,0.00E+00,9.38E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E-03,4.28E-05,0.00E+00,0.00E+00,0.00E+00,9.36E-04,5.57E-05,0.00E+00,0.00E+00
FS_,4.88E-03,0.00E+00,2.98E-01,1.56E-01,2.92E-02,4.98E-03,3.04E-04,1.50E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.03E-03,1.32E-02,3.15E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.42E-02,3.49E-03,0.00E+00,4.16E-02,1.22E-01,0.00E+00,1.25E-01,4.13E-02,2.59E-02,5.12E-02,0.00E+00,3.30E-03,8.65E-02,3.11E-02
_Ss_,8.52E-02,1.10E-01,0.00E+00,2.27E-03,4.11E-04,0.00E+00,5.96E-02,4.57E-03,0.00E+00,3.63E-02,0.00E+00,0.00E+00,6.49E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.99E-01,0.00E+00,0.00E+00,0.00E+00,2.12E-02,1.30E-02,0.00E+00,1.54E-01,0.00E+00,0.00E+00,0.00E+00,1.03E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
_ee,2.16E-02,0.00E+00,0.00E+00,0.00E+00,8.41E-04,2.82E-01,2.02E-02,7.43E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.84E-02,5.38E-02,0.00E+00,7.62E-02,6.75E-02,2.95E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.24E-02,4.86E-03,0.00E+00,0.00E+00,0.00E+00,2.29E-03,4.49E-03,0.00E+00,0.00E+00,4.00E-03
fs_,3.33E-04,0.00E+00,2.04E-04,1.84E-02,4.90E-02,9.92E-04,1.62E-01,0.00E+00,0.00E+00,5.38E-02,0.00E+00,0.00E+00,2.06E-02,1.87E-01,0.00E+00,3.85E-03,2.21E-02,0.00E+00,9.18E-03,2.69E-01,1.42E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.39E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.94E-03,0.00E+00
ssss,0.00E+00,2.63E-02,0.00E+00,0.00E+00,0.00E+00,4.04E-04,3.75E-04,1.89E-01,0.00E+00,0.00E+00,3.37E-01,0.00E+00,7.67E-02,0.00E+00,1.50E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.19E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.22E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Fss,9.03E-02,4.51E-03,0.00E+00,0.00E+00,4.90E-02,9.60E-03,3.00E-04,5.84E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.32E-02,0.00E+00,0.00E+00,8.66E-03,5.82E-02,0.00E+00,1.93E-01,0.00E+00,2.79E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.59E-04,0.00E+00
_FS_,1.27E-02,0.00E+00,2.63E-01,1.40E-01,1.17E-02,4.48E-03,2.31E-04,4.71E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.64E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.68E-02,2.83E-03,0.00E+00,3.36E-02,1.57E-01,0.00E+00,0.00E+00,2.94E-02,1.07E-03,8.26E-02,0.00E+00,3.57E-03,4.21E-02,4.79E-02
ssss_,0.00E+00,1.96E-02,0.00E+00,0.00E+00,0.00E+00,2.38E-04,2.06E-05,7.82E-02,0.00E+00,2.59E-03,4.32E-02,0.00E+00,9.28E-02,0.00E+00,1.04E-02,0.00E+00,6.13E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.37E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.54E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
