dsa24,"0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02469136,0.00411523,0.02057613,0.01234568,0.00823045,0.00823045,0.00823045,0.00411523,0.00000000,0.02057613,0.00411523,0.01646091,0.03703704,0.00411523,0.02469136,0.01234568,0.00823045,0.00000000,0.00411523,0.00823045,0.00000000,0.11522634,0.05349794,0.05349794,0.02880658,0.02057613,0.01234568,0.00411523,0.00000000,0.00000000,0.00000000,0.00411523,0.00000000,0.00000000,0.00823045,0.00411523,0.00411523,0.02880658,0.02469136,0.00411523,0.00000000,0.00411523,0.00823045,0.00411523,0.00000000,0.04938272,0.00823045,0.03703704,0.01646091,0.02057613,0.01234568,0.00823045,0.00411523,0.01234568,0.00000000,0.01234568,0.00411523,0.00823045,0.00411523,0.00000000,0.00000000,0.00000000,0.00000000,0.02469136,0.00411523,0.02057613,0.00823045,0.00823045,0.04526749,0.00823045,0.02469136,0.00823045,0.01234568,0.00823045,0.00000000,0.00411523,0.00823045,0.00411523,0.00000000,0.00000000"
jhb32,"0.01538462,0.00615385,0.00307692,0.00307692,0.00000000,0.01538462,0.00923077,0.00615385,0.00307692,0.00307692,0.00615385,0.00615385,0.00307692,0.00000000,0.00000000,0.00000000,0.01538462,0.00307692,0.00307692,0.01230769,0.01538462,0.01230769,0.00307692,0.01538462,0.00307692,0.00615385,0.00615385,0.00000000,0.00000000,0.00307692,0.02461538,0.00615385,0.08000000,0.03692308,0.03076923,0.01538462,0.01230769,0.00307692,0.00923077,0.00307692,0.00615385,0.00307692,0.00307692,0.00307692,0.00307692,0.01846154,0.00615385,0.00000000,0.04000000,0.01538462,0.01846154,0.00307692,0.01538462,0.02769231,0.00307692,0.01230769,0.03076923,0.01538462,0.00923077,0.00923077,0.00000000,0.00000000,0.00000000,0.01230769,0.04000000,0.00307692,0.01230769,0.00615385,0.00307692,0.00000000,0.01846154,0.00615385,0.00615385,0.02153846,0.02153846,0.01230769,0.00615385,0.00307692,0.00000000,0.04615385,0.00923077,0.01846154,0.00615385,0.01846154,0.00615385,0.00000000,0.00307692,0.04615385,0.00307692,0.01230769,0.01538462"
snb39,"0.02991840,0.01178604,0.01631913,0.00362647,0.00997280,0.01903898,0.00725295,0.01178604,0.00543971,0.00543971,0.00181324,0.00634633,0.00090662,0.00543971,0.00181324,0.00362647,0.00634633,0.00090662,0.00000000,0.00271985,0.00634633,0.00181324,0.00362647,0.00543971,0.00090662,0.00453309,0.00543971,0.00362647,0.00090662,0.00000000,0.00634633,0.00090662,0.16047144,0.05893019,0.08794198,0.03354488,0.04714415,0.02085222,0.02357208,0.01178604,0.01178604,0.00634633,0.00815956,0.00725295,0.00181324,0.00997280,0.00271985,0.00271985,0.03535811,0.01450589,0.01541251,0.00634633,0.00725295,0.00271985,0.00090662,0.00634633,0.02538531,0.00181324,0.02175884,0.00634633,0.01359927,0.00362647,0.00906618,0.00815956,0.02629193,0.00271985,0.00997280,0.00000000,0.00906618,0.00634633,0.00815956,0.00271985,0.00271985,0.00362647,0.00815956,0.00181324,0.00543971,0.00090662,0.00362647,0.00725295,0.00181324,0.00543971,0.00000000,0.01269266,0.00453309,0.00090662,0.00181324,0.00725295,0.00090662,0.00181324,0.00000000"
nrg14,"0.00534759,0.00534759,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02673797,0.02673797,0.00000000,0.00000000,0.00000000,0.01604278,0.00534759,0.00534759,0.00534759,0.02673797,0.01604278,0.01069519,0.01069519,0.00534759,0.00000000,0.04812834,0.01069519,0.01069519,0.02673797,0.01069519,0.00000000,0.01604278,0.01604278,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00534759,0.00534759,0.00000000,0.07486631,0.07486631,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08556150,0.00534759,0.03743316,0.03743316,0.00000000,0.00000000,0.03743316,0.01604278,0.01604278,0.02139037,0.03743316,0.02673797,0.01069519,0.01069519,0.00000000,0.02139037,0.01604278,0.00000000,0.00534759,0.05882353,0.01069519,0.01069519,0.03208556,0.02139037,0.00534759,0.00534759,0.00534759"
pmp27,"0.01307190,0.00217865,0.01089325,0.00653595,0.00435730,0.01525054,0.00217865,0.01089325,0.00217865,0.00653595,0.00217865,0.01089325,0.00000000,0.00871460,0.00000000,0.00871460,0.01307190,0.00435730,0.00000000,0.00435730,0.01307190,0.00000000,0.01307190,0.01089325,0.00435730,0.00435730,0.00435730,0.00217865,0.00000000,0.00000000,0.01307190,0.00217865,0.14161220,0.06100218,0.06753813,0.04357298,0.01742919,0.01307190,0.00435730,0.00435730,0.00000000,0.00000000,0.00871460,0.00435730,0.00217865,0.01742919,0.00217865,0.00217865,0.03050109,0.01089325,0.01525054,0.00435730,0.00871460,0.00871460,0.00435730,0.00000000,0.03267974,0.00000000,0.02832244,0.00871460,0.01742919,0.01307190,0.00217865,0.00435730,0.03267974,0.00435730,0.01525054,0.00000000,0.01307190,0.00435730,0.01089325,0.00653595,0.00435730,0.00653595,0.01960784,0.00000000,0.01742919,0.00217865,0.01307190,0.01742919,0.00435730,0.00871460,0.00435730,0.01089325,0.00435730,0.00000000,0.00217865,0.01742919,0.00217865,0.00217865,0.00217865"
rdp23,"0.00568182,0.00568182,0.00000000,0.00000000,0.00000000,0.01136364,0.00000000,0.00568182,0.00000000,0.00568182,0.00000000,0.05113636,0.05113636,0.00000000,0.00000000,0.00000000,0.00568182,0.00568182,0.00568182,0.00000000,0.03409091,0.02272727,0.01136364,0.04545455,0.03977273,0.00568182,0.01704545,0.01136364,0.01136364,0.00568182,0.01136364,0.00000000,0.02840909,0.01704545,0.00568182,0.00568182,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00568182,0.00000000,0.00000000,0.01136364,0.00568182,0.00000000,0.01704545,0.00568182,0.00568182,0.00000000,0.00568182,0.00000000,0.00000000,0.00000000,0.07954545,0.07954545,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01136364,0.01704545,0.00568182,0.00568182,0.00568182,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01136364,0.03977273,0.02840909,0.01136364,0.00568182,0.00000000,0.05113636,0.04545455,0.00568182,0.00000000,0.02840909,0.01704545,0.01704545,0.00568182,0.02840909,0.00000000,0.00568182,0.01136364"
mjm248,"0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03053435,0.01526718,0.00763359,0.00381679,0.00381679,0.02671756,0.00000000,0.00000000,0.02290076,0.01145038,0.00763359,0.00000000,0.00763359,0.00000000,0.00000000,0.01908397,0.00763359,0.00763359,0.00763359,0.01526718,0.01526718,0.01526718,0.00763359,0.00381679,0.00381679,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00381679,0.00381679,0.00381679,0.03053435,0.00763359,0.00000000,0.00381679,0.00000000,0.00000000,0.00000000,0.00000000,0.01526718,0.01145038,0.00000000,0.08015267,0.04961832,0.01145038,0.00381679,0.00381679,0.00381679,0.00000000,0.00381679,0.12595420,0.00381679,0.03435115,0.02290076,0.00381679,0.00000000,0.07633588,0.02671756,0.04198473,0.01526718,0.01908397,0.01145038,0.00000000,0.00000000,0.00000000,0.03053435,0.00763359,0.00381679,0.01145038,0.02290076,0.00763359,0.00763359,0.01145038,0.01908397,0.00000000,0.01908397,0.00000000"
ams396,"0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02105263,0.02105263,0.00000000,0.00000000,0.00000000,0.03157895,0.02105263,0.00000000,0.01052632,0.03157895,0.00000000,0.03157895,0.03157895,0.03157895,0.00000000,0.01052632,0.00000000,0.00000000,0.00000000,0.02105263,0.01052632,0.05263158,0.05263158,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01052632,0.01052632,0.00000000,0.05263158,0.03157895,0.02105263,0.02105263,0.00000000,0.00000000,0.00000000,0.01052632,0.05263158,0.01052632,0.02105263,0.00000000,0.02105263,0.00000000,0.02105263,0.00000000,0.01052632,0.02105263,0.05263158,0.02105263,0.03157895,0.03157895,0.00000000,0.04210526,0.03157895,0.00000000,0.01052632,0.02105263,0.01052632,0.01052632,0.00000000,0.02105263,0.01052632,0.01052632,0.00000000"
jmk195,"0.01570681,0.00000000,0.01570681,0.00261780,0.01178010,0.00523560,0.00000000,0.00392670,0.00130890,0.00261780,0.00130890,0.01047120,0.00000000,0.01047120,0.00000000,0.01047120,0.00654450,0.00392670,0.00000000,0.00130890,0.01178010,0.00000000,0.00785340,0.00261780,0.00000000,0.00130890,0.00392670,0.00000000,0.00000000,0.00130890,0.00130890,0.00130890,0.17801047,0.04973822,0.11910995,0.04188482,0.07198953,0.03534031,0.03272251,0.02617801,0.00392670,0.00392670,0.00523560,0.00392670,0.00130890,0.01178010,0.01047120,0.00916230,0.01047120,0.00000000,0.00654450,0.00392670,0.00261780,0.01701571,0.00392670,0.00000000,0.02879581,0.00000000,0.02748691,0.00392670,0.02225131,0.00130890,0.02094241,0.00130890,0.01439791,0.00130890,0.00654450,0.00000000,0.00654450,0.00654450,0.00654450,0.00261780,0.00392670,0.00392670,0.01439791,0.00130890,0.00916230,0.00000000,0.00654450,0.00523560,0.00000000,0.00261780,0.00261780,0.00523560,0.00130890,0.00000000,0.00130890,0.00392670,0.00130890,0.00261780,0.00000000"
mac276,"0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01587302,0.06349206,0.06349206,0.00000000,0.00000000,0.00000000,0.01587302,0.00000000,0.00000000,0.01587302,0.00000000,0.00000000,0.00000000,0.01587302,0.00000000,0.00000000,0.04761905,0.01587302,0.00000000,0.00000000,0.03174603,0.01587302,0.03174603,0.03174603,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01587302,0.01587302,0.03174603,0.11111111,0.07936508,0.03174603,0.03174603,0.00000000,0.00000000,0.00000000,0.04761905,0.04761905,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03174603,0.00000000,0.01587302,0.01587302,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03174603,0.01587302,0.00000000,0.00000000,0.04761905,0.01587302,0.00000000,0.00000000,0.03174603,0.00000000,0.01587302,0.00000000"
